,,,,,,,,,,
State - All Districts,,,,,,,,,,
Kindergarten Entrance Inventory Results - Literacy Skills,,,,,,,,,,
All Years,,,,,,,,,,
,,,,,,,,,,
,,- Indicates no data,,,,,,,,
,,,,,,,Literacy Skills (%),,,
,District ID,,District Name,School Year,Number of Students Tested,,Level 1,Level 2,Level 3,
,288,,Achievement First Hartford Academy Inc.,2011-12,89,,7.9,70.8,21.3,
,001,,Andover School District,2011-12,35,,17.1,51.4,31.4,
,002,,Ansonia School District,2011-12,172,,20.3,48.8,30.8,
,244,,Area Cooperative Educational Services,2011-12,60,,20.0,35.0,45.0,
,003,,Ashford School District,2011-12,56,,14.3,35.7,50.0,
,004,,Avon School District,2011-12,165,,10.3,36.4,53.3,
,005,,Barkhamsted School District,2011-12,42,,11.9,35.7,52.4,
,007,,Berlin School District,2011-12,153,,22.9,34.0,43.1,
,008,,Bethany School District,2011-12,46,,28.3,37.0,34.8,
,009,,Bethel School District,2011-12,199,,14.1,39.7,46.2,
,011,,Bloomfield School District,2011-12,182,,21.4,45.1,33.5,
,012,,Bolton School District,2011-12,43,,25.6,27.9,46.5,
,013,,Bozrah School District,2011-12,20,,25.0,30.0,45.0,
,014,,Branford School District,2011-12,208,,18.3,46.6,35.1,
,015,,Bridgeport School District,2011-12,"1,833",,27.9,38.7,33.3,
,017,,Bristol School District,2011-12,562,,24.9,35.8,39.3,
,018,,Brookfield School District,2011-12,179,,20.7,29.6,49.7,
,019,,Brooklyn School District,2011-12,72,,23.6,47.2,29.2,
,021,,Canaan School District,2011-12,6,,16.7,16.7,66.7,
,022,,Canterbury School District,2011-12,43,,18.6,32.6,48.8,
,023,,Canton School District,2011-12,108,,14.8,36.1,49.1,
,241,,Capitol Region Education Council,2011-12,363,,16.3,34.7,49.0,
,024,,Chaplin School District,2011-12,26,,7.7,46.2,46.2,
,025,,Cheshire School District,2011-12,263,,3.0,13.3,83.7,
,026,,Chester School District,2011-12,31,,12.9,77.4,9.7,
,027,,Clinton School District,2011-12,150,,20.7,36.0,43.3,
,028,,Colchester School District,2011-12,179,,18.4,34.6,46.9,
,029,,Colebrook School District,2011-12,8,,25.0,25.0,50.0,
,030,,Columbia School District,2011-12,46,,19.6,30.4,50.0,
,243,,Cooperative Educational Services,2011-12,59,,8.5,25.4,66.1,
,031,,Cornwall School District,2011-12,7,,28.6,14.3,57.1,
,032,,Coventry School District,2011-12,123,,19.5,50.4,30.1,
,033,,Cromwell School District,2011-12,140,,13.6,40.0,46.4,
,034,,Danbury School District,2011-12,864,,34.7,42.9,22.3,
,035,,Darien School District,2011-12,368,,9.2,26.4,64.4,
,036,,Deep River School District,2011-12,55,,43.6,56.4,0.0,
,037,,Derby School District,2011-12,122,,22.1,36.9,41.0,
,040,,East Granby School District,2011-12,34,,23.5,23.5,52.9,
,041,,East Haddam School District,2011-12,76,,15.8,38.2,46.1,
