District ID,District Name,School Year,ELL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
279,Amistad Academy District,2010-11,No,73,71,97.3,0,2.7,0,5.6,22.5,40.8,31,270.9,71.8,94.4
279,Amistad Academy District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
1,Andover School District,2010-11,No,35,34,97.1,0,2.9,2.9,0,5.9,44.1,47.1,293.2,91.2,97.1
2,Ansonia School District,2010-11,No,207,197,95.2,0,4.8,6.6,8.1,22.8,35.5,26.9,261.3,62.4,85.3
2,Ansonia School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,No,75,73,97.3,0,2.7,13.7,8.2,19.2,39.7,19.2,255.6,58.9,78.1
3,Ashford School District,2010-11,No,49,47,95.9,0,4.1,2.1,14.9,14.9,51.1,17,260.3,68.1,83
3,Ashford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,No,274,268,97.8,0,2.2,0,2.2,7.5,27.6,62.7,300.2,90.3,97.8
4,Avon School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
5,Barkhamsted School District,2010-11,No,53,53,100,0,0,0,3.8,13.2,43.4,39.6,279.8,83,96.2
7,Berlin School District,2010-11,No,233,231,99.1,0,0.9,1.7,6.9,15.2,29.9,46.3,282.9,76.2,91.3
7,Berlin School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
8,Bethany School District,2010-11,No,84,78,92.9,0,7.1,0,2.6,9,42.3,46.2,292.5,88.5,97.4
8,Bethany School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
9,Bethel School District,2010-11,No,234,230,98.3,0,1.7,2.6,3,10.4,39.6,44.3,287.6,83.9,94.3
9,Bethel School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
11,Bloomfield School District,2010-11,No,142,131,92.3,0,7.7,9.9,15.3,23.7,41.2,9.9,243.6,51.1,74.8
11,Bloomfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,No,57,55,96.5,0,3.5,1.8,5.5,21.8,21.8,49.1,284.1,70.9,92.7
13,Bozrah School District,2010-11,No,21,20,95.2,0,4.8,0,0,15,35,50,292.5,85,100
14,Branford School District,2010-11,No,225,217,96.4,0,3.6,1.8,5.1,16.1,41.9,35,276.8,77,93.1
14,Branford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
15,Bridgeport School District,2010-11,No,1403,1317,93.9,0.7,5.4,22,19.7,25.8,24.8,7.7,226.3,32.4,58.2
15,Bridgeport School District,2010-11,Yes,219,179,81.7,0,18.3,41.9,24,20.1,12.8,1.1,201.2,14,34.1
17,Bristol School District,2010-11,No,609,588,96.6,0,3.4,10.7,9.2,20.6,33.3,26.2,257.4,59.5,80.1
17,Bristol School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
18,Brookfield School District,2010-11,No,207,201,97.1,0,2.9,1.5,3.5,11.4,40.3,43.3,283.1,83.6,95
18,Brookfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,No,104,103,99,0,1,1.9,2.9,29.1,39.8,26.2,266.3,66,95.1
21,Canaan School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,No,63,62,98.4,0,1.6,1.6,6.5,22.6,45.2,24.2,264.7,69.4,91.9
23,Canton School District,2010-11,No,132,130,98.5,0,1.5,1.5,2.3,12.3,43.8,40,279.8,83.8,96.2
