District ID,District Name,School Year,Special Education Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
279,Amistad Academy District,2010-11,N,52,51,98.1,1.9,0,7.8,5.9,15.7,56.9,13.7,248.7,70.6,86.3
279,Amistad Academy District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,N,173,172,99.4,0,0.6,17.4,9.3,18,40.1,15.1,240.3,55.2,73.3
2,Ansonia School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,N,273,271,99.3,0.7,0,17.3,7.4,12.2,45.8,17.3,245.5,63.1,75.3
244,Area Cooperative Educational Services,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,N,51,51,100,0,0,13.7,3.9,9.8,31.4,41.2,267.7,72.5,82.4
3,Ashford School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,N,274,272,99.3,0,0.7,0.4,0,2.6,33.5,63.6,295.2,97.1,99.6
4,Avon School District,2010-11,Y,27,20,74.1,0,25.9,25,0,15,55,5,237.4,60,75
7,Berlin School District,2010-11,N,209,209,100,0,0,1,1,4.3,38.3,55.5,284.6,93.8,98.1
7,Berlin School District,2010-11,Y,30,21,70,0,30,0,19,28.6,47.6,4.8,239.5,52.4,81
9,Bethel School District,2010-11,N,198,197,99.5,0,0.5,1.5,3.6,4.1,35.5,55.3,284.2,90.9,94.9
9,Bethel School District,2010-11,Y,24,20,83.3,0,16.7,15,30,5,45,5,227.2,50,55
11,Bloomfield School District,2010-11,N,131,130,99.2,0.8,0,9.2,7.7,13.1,55.4,14.6,247.3,70,83.1
11,Bloomfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,N,61,61,100,0,0,3.3,9.8,9.8,47.5,29.5,269.1,77,86.9
12,Bolton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,N,24,24,100,0,0,0,0,4.2,70.8,25,271.3,95.8,100
13,Bozrah School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
14,Branford School District,2010-11,N,229,227,99.1,0.9,0,3.5,3.5,7,38.8,47.1,280.1,85.9,93
14,Branford School District,2010-11,Y,42,27,64.3,4.8,31,18.5,22.2,25.9,29.6,3.7,226.4,33.3,59.3
285,Bridgeport Achievement First,2010-11,N,65,65,100,0,0,10.8,18.5,12.3,40,18.5,246.6,58.5,70.8
15,Bridgeport School District,2010-11,N,1181,1144,96.9,0.9,2.2,25.4,12.9,15.8,39.6,6.2,228.6,45.8,61.6
15,Bridgeport School District,2010-11,Y,187,95,50.8,4.8,44.4,69.5,11.6,7.4,11.6,0,189.3,11.6,18.9
17,Bristol School District,2010-11,N,585,581,99.3,0.2,0.5,5.5,6.4,10,48.7,29.4,262.4,78.1,88.1
17,Bristol School District,2010-11,Y,88,61,69.3,2.3,28.4,47.5,9.8,14.8,24.6,3.3,213,27.9,42.6
18,Brookfield School District,2010-11,N,220,220,100,0,0,1.8,1.4,1.8,40,55,283.8,95,96.8
18,Brookfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,N,87,87,100,0,0,5.7,3.4,11.5,49.4,29.9,261.4,79.3,90.8
19,Brooklyn School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,N,55,55,100,0,0,3.6,5.5,1.8,58.2,30.9,267,89.1,90.9
22,Canterbury School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
23,Canton School District,2010-11,N,133,132,99.2,0,0.8,0.8,2.3,0.8,46.2,50,281.4,96.2,97
23,Canton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
241,Capitol Region Education Council,2010-11,N,370,369,99.7,0,0.3,7,8.1,11.7,40.7,32.5,263.8,73.2,84.8
241,Capitol Region Education Council,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
25,Cheshire School District,2010-11,N,367,365,99.5,0.3,0.3,0.5,1.1,3.8,40,54.5,289,94.5,98.4
25,Cheshire School District,2010-11,Y,41,28,68.3,0,31.7,17.9,7.1,21.4,42.9,10.7,240.6,53.6,75
27,Clinton School District,2010-11,N,157,157,100,0,0,3.8,1.9,5.7,43.9,44.6,275.2,88.5,94.3
27,Clinton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
28,Colchester School District,2010-11,N,209,209,100,0,0,1.4,5.3,6.7,44,42.6,278.2,86.6,93.3
28,Colchester School District,2010-11,Y,36,32,88.9,0,11.1,31.2,12.5,21.9,31.2,3.1,221.9,34.4,56.3
30,Columbia School District,2010-11,N,44,44,100,0,0,2.3,0,9.1,40.9,47.7,277.6,88.6,97.7
30,Columbia School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
243,Cooperative Educational Services,2010-11,N,35,35,100,0,0,5.7,2.9,8.6,57.1,25.7,261.9,82.9,91.4
31,Cornwall School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
31,Cornwall School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
32,Coventry School District,2010-11,N,131,131,100,0,0,0.8,6.9,7.6,53.4,31.3,265,84.7,92.4
32,Coventry School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
33,Cromwell School District,2010-11,N,126,125,99.2,0,0.8,2.4,4.8,4,52.8,36,273.6,88.8,92.8
33,Cromwell School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
34,Danbury School District,2010-11,N,650,622,95.7,3.1,1.2,9.3,6.9,10.8,45.8,27.2,256.9,73,83.8
34,Danbury School District,2010-11,Y,95,47,49.5,2.1,48.4,17,10.6,14.9,51.1,6.4,237.1,57.4,72.3
35,Darien School District,2010-11,N,350,350,100,0,0,0.6,0.3,0.9,31.7,66.6,298.5,98.3,99.1
35,Darien School District,2010-11,Y,33,30,90.9,0,9.1,10,6.7,16.7,50,16.7,250.9,66.7,83.3
36,Deep River School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
37,Derby School District,2010-11,N,109,108,99.1,0,0.9,13,10.2,14.8,52.8,9.3,243,62,76.9
37,Derby School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
40,East Granby School District,2010-11,N,57,57,100,0,0,1.8,0,0,52.6,45.6,282.1,98.2,98.2
40,East Granby School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
41,East Haddam School District,2010-11,N,116,116,100,0,0,2.6,1.7,6.9,47.4,41.4,274.3,88.8,95.7
41,East Haddam School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
42,East Hampton School District,2010-11,N,151,150,99.3,0.7,0,0.7,4,7.3,41.3,46.7,277.1,88,95.3
42,East Hampton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
43,East Hartford School District,2010-11,N,448,443,98.9,0,1.1,24.8,13.1,15.1,38.8,8.1,230.9,47,62.1
43,East Hartford School District,2010-11,Y,55,37,67.3,0,32.7,86.5,13.5,0,0,0,177,0,0
44,East Haven School District,2010-11,N,248,246,99.2,0.8,0,9.3,7.7,11.4,55.3,16.3,248.7,71.5,82.9
44,East Haven School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
45,East Lyme School District,2010-11,N,187,187,100,0,0,0.5,1.6,3.2,35.8,58.8,291.8,94.7,97.9
45,East Lyme School District,2010-11,Y,28,21,75,0,25,9.5,23.8,9.5,47.6,9.5,246.1,57.1,66.7
47,East Windsor School District,2010-11,N,79,79,100,0,0,6.3,10.1,10.1,49.4,24.1,256.4,73.4,83.5
47,East Windsor School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
39,Eastford School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
39,Eastford School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
46,Easton School District,2010-11,N,125,123,98.4,1.6,0,0,0,1.6,42.3,56.1,288.8,98.4,100
46,Easton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
48,Ellington School District,2010-11,N,189,189,100,0,0,1.1,1.6,5.8,41.8,49.7,280.6,91.5,97.4
48,Ellington School District,2010-11,Y,26,22,84.6,0,15.4,18.2,4.5,22.7,50,4.5,233.9,54.5,77.3
289,Elm City College Preparatory School,2010-11,N,42,42,100,0,0,11.9,9.5,14.3,47.6,16.7,244.9,64.3,78.6
289,Elm City College Preparatory School,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
49,Enfield School District,2010-11,N,370,369,99.7,0.3,0,2.7,4.1,9.5,53.7,30.1,266.4,83.7,93.2
49,Enfield School District,2010-11,Y,36,23,63.9,2.8,33.3,26.1,17.4,17.4,39.1,0,224.6,39.1,56.5
51,Fairfield School District,2010-11,N,689,687,99.7,0,0.3,1,1.2,4.7,43.8,49.3,282.5,93.2,97.8
51,Fairfield School District,2010-11,Y,78,57,73.1,0,26.9,12.3,8.8,19.3,50.9,8.8,237.1,59.6,78.9
52,Farmington School District,2010-11,N,323,321,99.4,0.3,0.3,0.9,2.5,3.7,34.9,57.9,291.6,92.8,96.6
52,Farmington School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
53,Franklin School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
53,Franklin School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
54,Glastonbury School District,2010-11,N,518,515,99.4,0.2,0.4,2.3,1.9,4.7,41.9,49.1,282.9,91.1,95.7
54,Glastonbury School District,2010-11,Y,45,32,71.1,0,28.9,21.9,15.6,15.6,40.6,6.2,230.8,46.9,62.5
56,Granby School District,2010-11,N,152,151,99.3,0.7,0,2.6,2,7.3,39.1,49,278.7,88.1,95.4
56,Granby School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
57,Greenwich School District,2010-11,N,560,549,98,0.4,1.6,2.9,2,5.6,36.6,52.8,284.7,89.4,95.1
57,Greenwich School District,2010-11,Y,77,68,88.3,0,11.7,13.2,11.8,14.7,52.9,7.4,238.1,60.3,75
58,Griswold School District,2010-11,N,113,113,100,0,0,3.5,4.4,8.8,50.4,32.7,266.4,83.2,92
58,Griswold School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
59,Groton School District,2010-11,N,278,276,99.3,0,0.7,3.6,6.2,8.3,46.7,35.1,267.9,81.9,90.2
59,Groton School District,2010-11,Y,39,29,74.4,0,25.6,44.8,24.1,10.3,20.7,0,205,20.7,31
60,Guilford School District,2010-11,N,271,271,100,0,0,0,0.4,3,42.4,54.2,287.4,96.7,99.6
60,Guilford School District,2010-11,Y,29,22,75.9,0,24.1,9.1,4.5,13.6,36.4,36.4,259.7,72.7,86.4
62,Hamden School District,2010-11,N,379,375,98.9,0,1.1,9.9,9.3,9.6,45.6,25.6,256.4,71.2,80.8
62,Hamden School District,2010-11,Y,75,41,54.7,2.7,42.7,26.8,22,22,22,7.3,219.5,29.3,51.2
64,Hartford School District,2010-11,N,1381,1335,96.7,1.6,1.7,29.4,12.4,12.7,35.7,9.8,228.9,45.5,58.1
64,Hartford School District,2010-11,Y,276,74,26.8,1.1,72.1,59.5,5.4,12.2,18.9,4.1,201.8,23,35.1
65,Hartland School District,2010-11,N,20,20,100,0,0,0,5,0,45,50,281.8,95,95
286,Highville Charter School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
286,Highville Charter School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
264,Integrated Day Charter School District,2010-11,N,29,29,100,0,0,6.9,3.4,13.8,41.4,34.5,262.7,75.9,89.7
264,Integrated Day Charter School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
265,Interdistrict School for Arts and Comm District,2010-11,N,49,49,100,0,0,8.2,4.1,10.2,55.1,22.4,256.2,77.6,87.8
265,Interdistrict School for Arts and Comm District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
261,Jumoke Academy District,2010-11,N,37,37,100,0,0,13.5,2.7,8.1,62.2,13.5,248.1,75.7,83.8
261,Jumoke Academy District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
68,Kent School District,2010-11,N,23,23,100,0,0,0,0,0,34.8,65.2,292.4,100,100
68,Kent School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
69,Killingly School District,2010-11,N,163,162,99.4,0.6,0,4.9,8.6,9.3,53.1,24.1,257.3,77.2,86.4
69,Killingly School District,2010-11,Y,31,24,77.4,3.2,19.4,33.3,25,12.5,29.2,0,220.3,29.2,41.7
245,Learn,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
245,Learn,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
71,Lebanon School District,2010-11,N,95,95,100,0,0,3.2,2.1,3.2,56.8,34.7,273.5,91.6,94.7
71,Lebanon School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
72,Ledyard School District,2010-11,N,192,189,98.4,1.6,0,4.8,2.6,9,42.9,40.7,271.4,83.6,92.6
72,Ledyard School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
73,Lisbon School District,2010-11,N,62,62,100,0,0,1.6,3.2,4.8,51.6,38.7,270.6,90.3,95.2
73,Lisbon School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
74,Litchfield School District,2010-11,N,80,80,100,0,0,3.8,2.5,3.8,40,50,279.7,90,93.8
74,Litchfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
76,Madison School District,2010-11,N,266,260,97.7,0.8,1.5,0.8,1.2,1.5,36.2,60.4,295,96.5,98.1
76,Madison School District,2010-11,Y,45,42,93.3,2.2,4.4,9.5,16.7,11.9,54.8,7.1,238.7,61.9,73.8
77,Manchester School District,2010-11,N,399,389,97.5,1.3,1.3,14.1,8.5,10.5,41.9,24.9,252.3,66.8,77.4
77,Manchester School District,2010-11,Y,73,32,43.8,1.4,54.8,71.9,12.5,9.4,6.2,0,193.1,6.3,15.6
