District ID,District Name,School Year,ELL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
36,Deep River School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
37,Derby School District,2010-11,No,110,109,99.1,0,0.9,11.9,10.1,13.8,55,9.2,242.7,64.2,78
37,Derby School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
40,East Granby School District,2010-11,No,67,66,98.5,0,1.5,1.5,3,3,51.5,40.9,277.2,92.4,95.5
41,East Haddam School District,2010-11,No,135,127,94.1,0,5.9,3.1,3.9,8.7,45.7,38.6,270.3,84.3,92.9
42,East Hampton School District,2010-11,No,161,154,95.7,0.6,3.7,2.6,3.9,7.1,40.9,45.5,275.2,86.4,93.5
43,East Hartford School District,2010-11,No,465,448,96.3,0,3.7,26.6,12.7,14.7,37.9,8,229.4,46,60.7
43,East Hartford School District,2010-11,Yes,38,32,84.2,0,15.8,71.9,18.8,3.1,6.2,0,188.8,6.3,9.4
44,East Haven School District,2010-11,No,273,255,93.4,1.1,5.5,12.2,7.1,11.4,53.7,15.7,246.5,69.4,80.8
44,East Haven School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
45,East Lyme School District,2010-11,No,214,207,96.7,0,3.3,1.4,3.4,3.9,37.2,54.1,287.5,91.3,95.2
45,East Lyme School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
47,East Windsor School District,2010-11,No,96,90,93.8,0,6.3,12.2,12.2,8.9,45.6,21.1,250.1,66.7,75.6
39,Eastford School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
46,Easton School District,2010-11,No,136,129,94.9,2.2,2.9,0.8,0.8,2.3,41.9,54.3,286.7,96.1,98.4
48,Ellington School District,2010-11,No,215,211,98.1,0,1.9,2.8,1.9,7.6,42.7,45,275.7,87.7,95.3
289,Elm City College Preparatory School,2010-11,No,44,42,95.5,0,4.5,11.9,9.5,14.3,47.6,16.7,244.9,64.3,78.6
289,Elm City College Preparatory School,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
49,Enfield School District,2010-11,No,406,392,96.6,0.5,3,4.1,4.8,9.9,52.8,28.3,263.9,81.1,91.1
51,Fairfield School District,2010-11,No,757,737,97.4,0,2.6,1.8,1.8,5.3,44.5,46.7,279.6,91.2,96.5
51,Fairfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
52,Farmington School District,2010-11,No,343,337,98.3,0.3,1.5,2.1,2.4,4.2,35.3,56.1,289.2,91.4,95.5
52,Farmington School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
53,Franklin School District,2010-11,No,21,20,95.2,0,4.8,10,0,0,30,60,284.5,90,90
54,Glastonbury School District,2010-11,No,554,541,97.7,0.2,2.2,3.1,2.4,5,42.3,47.1,280.6,89.5,94.5
54,Glastonbury School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
56,Granby School District,2010-11,No,159,156,98.1,0.6,1.3,1.9,2.6,7.7,39.7,48.1,278.2,87.8,95.5
56,Granby School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
