District ID,District Name,School Year,FRL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
21,Canaan School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,Other,47,46,97.9,0,2.1,0,0,15.2,32.6,52.2,283.7,84.8,100
22,Canterbury School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
23,Canton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
23,Canton School District,2010-11,Other,141,138,97.9,0,2.1,0,1.4,7.2,41.3,50,288.7,91.3,98.6
23,Canton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
241,Capitol Region Education Council,2010-11,Free,156,146,93.6,0,6.4,6.2,11,37,40.4,5.5,240.1,45.9,82.9
241,Capitol Region Education Council,2010-11,Other,213,212,99.5,0,0.5,0.5,5.2,18.9,29.7,45.8,276.8,75.5,94.3
241,Capitol Region Education Council,2010-11,Reduced,32,32,100,0,0,3.1,12.5,28.1,40.6,15.6,249.9,56.3,84.4
25,Cheshire School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
25,Cheshire School District,2010-11,Other,393,382,97.2,0,2.8,0,2.6,9.9,34.3,53.1,287.8,87.4,97.4
25,Cheshire School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
27,Clinton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
27,Clinton School District,2010-11,Other,154,153,99.4,0,0.6,3.9,3.9,14.4,38.6,39.2,273.9,77.8,92.2
27,Clinton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
28,Colchester School District,2010-11,Free,27,26,96.3,0,3.7,0,7.7,38.5,38.5,15.4,252.6,53.8,92.3
28,Colchester School District,2010-11,Other,211,208,98.6,0,1.4,1.4,4.3,17.8,35.6,40.9,274.7,76.4,94.2
28,Colchester School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
30,Columbia School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
30,Columbia School District,2010-11,Other,44,41,93.2,0,6.8,2.4,2.4,19.5,39,36.6,272.5,75.6,95.1
30,Columbia School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
243,Cooperative Educational Services,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
243,Cooperative Educational Services,2010-11,Other,23,23,100,0,0,0,8.7,39.1,30.4,21.7,258.4,52.2,91.3
243,Cooperative Educational Services,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
31,Cornwall School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
32,Coventry School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
32,Coventry School District,2010-11,Other,130,123,94.6,0,5.4,0.8,6.5,28.5,40.7,23.6,259.6,64.2,92.7
32,Coventry School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
33,Cromwell School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
33,Cromwell School District,2010-11,Other,121,118,97.5,0,2.5,0.8,4.2,9.3,47.5,38.1,277.6,85.6,94.9
33,Cromwell School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
34,Danbury School District,2010-11,Free,271,234,86.3,4.8,8.9,9.8,17.1,28.6,33.3,11.1,239.6,44.4,73.1
34,Danbury School District,2010-11,Other,413,383,92.7,2.2,5.1,1.8,5.2,19.3,40.7,32.9,268.5,73.6,93
34,Danbury School District,2010-11,Reduced,61,60,98.4,1.6,0,10,5,35,35,15,249.9,50,85
35,Darien School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
35,Darien School District,2010-11,Other,380,377,99.2,0,0.8,0.3,1.1,4.2,25.2,69.2,301.9,94.4,98.7
35,Darien School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
