District ID,District Name,School Year,Special Education Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
26,Chester School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
27,Clinton School District,2010-11,N,154,154,100,0,0,10.4,9.1,14.9,42.9,22.7,248.4,65.6,80.5
27,Clinton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
28,Colchester School District,2010-11,N,193,193,100,0,0,11.4,6.2,16.6,47.2,18.7,247.1,65.8,82.4
28,Colchester School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
29,Colebrook School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
29,Colebrook School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
30,Columbia School District,2010-11,N,54,54,100,0,0,13,13,5.6,51.9,16.7,243.4,68.5,74.1
30,Columbia School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
243,Cooperative Educational Services,2010-11,N,42,42,100,0,0,11.9,7.1,14.3,47.6,19,251.8,66.7,81
243,Cooperative Educational Services,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
31,Cornwall School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
31,Cornwall School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
32,Coventry School District,2010-11,N,137,137,100,0,0,9.5,8,15.3,47.4,19.7,248.7,67.2,82.5
32,Coventry School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
33,Cromwell School District,2010-11,N,130,129,99.2,0,0.8,4.7,5.4,14,44.2,31.8,262,76,89.9
33,Cromwell School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
34,Danbury School District,2010-11,N,756,743,98.3,0.3,1.5,16.4,11,18.3,41.5,12.8,236.8,54.2,72.5
34,Danbury School District,2010-11,Y,82,37,45.1,0,54.9,40.5,29.7,10.8,13.5,5.4,205.8,18.9,29.7
35,Darien School District,2010-11,N,326,325,99.7,0,0.3,0.6,1.5,10.8,56.6,30.5,266.6,87.1,97.8
35,Darien School District,2010-11,Y,41,35,85.4,0,14.6,22.9,8.6,37.1,25.7,5.7,227.8,31.4,68.6
36,Deep River School District,2010-11,N,47,47,100,0,0,8.5,4.3,17,51.1,19.1,249.8,70.2,87.2
