District ID,District Name,School Year,Special Education Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
279,Amistad Academy District,2010-11,N,52,52,100,0,0,0,3.8,11.5,40.4,44.2,275.1,84.6,96.2
279,Amistad Academy District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,N,173,172,99.4,0,0.6,7,19.2,25.6,41.9,6.4,233.5,48.3,73.8
2,Ansonia School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,N,273,272,99.6,0.4,0,8.1,16.5,23.9,37.5,14,237.4,51.5,75.4
244,Area Cooperative Educational Services,2010-11,Y,30,26,86.7,0,13.3,38.5,38.5,19.2,3.8,0,192.6,3.8,23.1
3,Ashford School District,2010-11,N,51,51,100,0,0,9.8,15.7,9.8,39.2,25.5,250.4,64.7,74.5
3,Ashford School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,N,274,272,99.3,0,0.7,0,0.4,4,45.6,50,290,95.6,99.6
4,Avon School District,2010-11,Y,27,25,92.6,0,7.4,16,12,20,44,8,237.9,52,72
7,Berlin School District,2010-11,N,209,209,100,0,0,1,4.3,9.6,60.3,24.9,264.4,85.2,94.7
7,Berlin School District,2010-11,Y,30,28,93.3,0,6.7,14.3,28.6,42.9,10.7,3.6,215.6,14.3,57.1
9,Bethel School District,2010-11,N,198,197,99.5,0,0.5,0.5,3,10.2,45.2,41.1,278.2,86.3,96.4
9,Bethel School District,2010-11,Y,24,22,91.7,0,8.3,18.2,36.4,22.7,22.7,0,211.7,22.7,45.5
11,Bloomfield School District,2010-11,N,131,130,99.2,0.8,0,3.8,12.3,26.2,50,7.7,238.6,57.7,83.8
11,Bloomfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,N,61,61,100,0,0,4.9,6.6,18,45.9,24.6,256.7,70.5,88.5
12,Bolton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,N,24,24,100,0,0,4.2,0,8.3,50,37.5,266.4,87.5,95.8
13,Bozrah School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
14,Branford School District,2010-11,N,229,227,99.1,0.9,0,0.9,3.1,14.5,50.2,31.3,267.7,81.5,96
14,Branford School District,2010-11,Y,42,31,73.8,7.1,19,38.7,25.8,19.4,12.9,3.2,202.4,16.1,35.5
285,Bridgeport Achievement First,2010-11,N,65,65,100,0,0,0,16.9,30.8,38.5,13.8,244.6,52.3,83.1
15,Bridgeport School District,2010-11,N,1181,1159,98.1,0.2,1.7,15,24.8,27.9,29.2,3.1,220.9,32.4,60.2
