District ID,District Name,School Year,Special Education Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
279,Amistad Academy District,2010-11,N,52,51,98.1,1.9,0,2,0,5.9,51,41.2,280,92.2,98
279,Amistad Academy District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,N,173,172,99.4,0,0.6,2.9,9.9,27.3,42.4,17.4,254,59.9,87.2
2,Ansonia School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,N,273,272,99.6,0,0.4,8.1,15.4,27.9,31.2,17.3,246.9,48.5,76.5
244,Area Cooperative Educational Services,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,N,51,51,100,0,0,2,13.7,13.7,23.5,47.1,272.3,70.6,84.3
3,Ashford School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,N,274,272,99.3,0,0.7,0,0.7,5.1,32.7,61.4,297.2,94.1,99.3
4,Avon School District,2010-11,Y,27,22,81.5,0,18.5,4.5,4.5,22.7,45.5,22.7,259.9,68.2,90.9
7,Berlin School District,2010-11,N,209,209,100,0,0,0.5,1.9,12,37.3,48.3,283.5,85.6,97.6
7,Berlin School District,2010-11,Y,30,20,66.7,0,33.3,0,25,30,40,5,237,45,75
9,Bethel School District,2010-11,N,198,196,99,0,1,0,3.1,10.2,42.9,43.9,280.5,86.7,96.9
9,Bethel School District,2010-11,Y,24,20,83.3,0,16.7,5,5,65,15,10,238.6,25,90
11,Bloomfield School District,2010-11,N,131,130,99.2,0.8,0,3.8,16.2,41.5,31.5,6.9,238.8,38.5,80
11,Bloomfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,N,61,61,100,0,0,1.6,1.6,16.4,27.9,52.5,284.9,80.3,96.7
12,Bolton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,N,24,24,100,0,0,0,8.3,8.3,54.2,29.2,267.4,83.3,91.7
13,Bozrah School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
14,Branford School District,2010-11,N,229,229,100,0,0,0.4,4.4,14.8,36.2,44.1,277.3,80.3,95.2
14,Branford School District,2010-11,Y,42,30,71.4,0,28.6,10,36.7,40,10,3.3,217.3,13.3,53.3
285,Bridgeport Achievement First,2010-11,N,65,65,100,0,0,1.5,3.1,24.6,43.1,27.7,266.2,70.8,95.4
15,Bridgeport School District,2010-11,N,1181,1147,97.1,0.7,2.2,15.3,20.7,30.8,26,7.1,230,33.1,63.9
15,Bridgeport School District,2010-11,Y,187,89,47.6,4.3,48.1,51.7,29.2,14.6,4.5,0,191,4.5,19.1
17,Bristol School District,2010-11,N,585,581,99.3,0.2,0.5,1.4,8.3,22.9,41.5,26,262.5,67.5,90.4
17,Bristol School District,2010-11,Y,88,62,70.5,0,29.5,16.1,27.4,40.3,14.5,1.6,218.1,16.1,56.5
18,Brookfield School District,2010-11,N,220,220,100,0,0,0,1.4,8.2,29.5,60.9,294.3,90.5,98.6
18,Brookfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,N,87,87,100,0,0,1.1,3.4,27.6,40.2,27.6,265.7,67.8,95.4
19,Brooklyn School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,N,55,55,100,0,0,0,0,20,32.7,47.3,279.5,80,100
22,Canterbury School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
23,Canton School District,2010-11,N,133,132,99.2,0,0.8,0,0.8,6.1,40.9,52.3,291.3,93.2,99.2
23,Canton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
241,Capitol Region Education Council,2010-11,N,370,369,99.7,0,0.3,2.7,6.8,26.3,35.2,29,262.3,64.2,90.5
241,Capitol Region Education Council,2010-11,Y,31,21,67.7,0,32.3,4.8,28.6,28.6,23.8,14.3,235.7,38.1,66.7
25,Cheshire School District,2010-11,N,367,366,99.7,0,0.3,0,1.6,8.2,34.7,55.5,290.5,90.2,98.4
25,Cheshire School District,2010-11,Y,41,28,68.3,0,31.7,0,21.4,42.9,28.6,7.1,237.7,35.7,78.6
27,Clinton School District,2010-11,N,157,157,100,0,0,0.6,1.9,14,42.7,40.8,278.7,83.4,97.5
27,Clinton School District,2010-11,Y,21,20,95.2,0,4.8,30,35,30,5,0,206.9,5,35
28,Colchester School District,2010-11,N,209,209,100,0,0,0,1.9,16.7,38.3,43.1,278.7,81.3,98.1
28,Colchester School District,2010-11,Y,36,32,88.9,0,11.1,9.4,21.9,46.9,15.6,6.2,228,21.9,68.8
30,Columbia School District,2010-11,N,44,44,100,0,0,0,0,18.2,45.5,36.4,277,81.8,100
30,Columbia School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
243,Cooperative Educational Services,2010-11,N,35,35,100,0,0,0,8.6,40,34.3,17.1,256.7,51.4,91.4
31,Cornwall School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
31,Cornwall School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
32,Coventry School District,2010-11,N,131,131,100,0,0,0,4.6,28.2,41.2,26,262.1,67.2,95.4
32,Coventry School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
