District ID,District Name,School Year,ELL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
279,Amistad Academy District,2010-11,No,56,52,92.9,1.8,5.4,1.9,0,5.8,51.9,40.4,279.4,92.3,98.1
279,Amistad Academy District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,No,179,171,95.5,0.6,3.9,2.9,9.9,26.3,43.3,17.5,254.3,60.8,87.1
2,Ansonia School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,No,285,277,97.2,0,2.8,9.4,15.2,27.4,30.7,17.3,246.2,48,75.5
244,Area Cooperative Educational Services,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,No,59,57,96.6,0,3.4,5.3,12.3,12.3,22.8,47.4,271.2,70.2,82.5
4,Avon School District,2010-11,No,299,294,98.3,0,1.7,0.3,1,6.5,33.7,58.5,294.4,92.2,98.6
4,Avon School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,No,236,227,96.2,0,3.8,0,3.5,13.7,37.9,44.9,280.2,82.8,96.5
7,Berlin School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
9,Bethel School District,2010-11,No,214,209,97.7,0,2.3,0.5,2.4,13.9,41.1,42.1,278.4,83.3,97.1
9,Bethel School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
11,Bloomfield School District,2010-11,No,143,135,94.4,0.7,4.9,4.4,17.8,40,31.1,6.7,237.8,37.8,77.8
12,Bolton School District,2010-11,No,70,68,97.1,0,2.9,2.9,5.9,19.1,25,47.1,277,72.1,91.2
13,Bozrah School District,2010-11,No,26,26,100,0,0,0,7.7,15.4,50,26.9,264.7,76.9,92.3
14,Branford School District,2010-11,No,263,252,95.8,0,4.2,1.6,8.3,17.5,32.9,39.7,270.4,72.6,90.1
14,Branford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
285,Bridgeport Achievement First,2010-11,No,65,65,100,0,0,1.5,3.1,24.6,43.1,27.7,266.2,70.8,95.4
15,Bridgeport School District,2010-11,No,1216,1116,91.8,1.2,7,15,20.1,31.2,26.5,7.3,230.3,33.8,65
15,Bridgeport School District,2010-11,Yes,152,120,78.9,0.7,20.4,45.8,33.3,15,5,0.8,197.5,5.8,20.8
17,Bristol School District,2010-11,No,648,625,96.5,0.2,3.4,2.2,9.1,24.5,39.8,24.3,259.7,64.2,88.6
17,Bristol School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
18,Brookfield School District,2010-11,No,232,227,97.8,0,2.2,0,1.8,9.3,30,59,292.6,89,98.2
18,Brookfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,No,93,90,96.8,0,3.2,1.1,3.3,26.7,41.1,27.8,265.9,68.9,95.6
19,Brooklyn School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,No,61,59,96.7,0,3.3,0,1.7,20.3,32.2,45.8,277.9,78,98.3
23,Canton School District,2010-11,No,144,142,98.6,0,1.4,0,1.4,7,42.3,49.3,288.8,91.5,98.6
23,Canton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
241,Capitol Region Education Council,2010-11,No,390,380,97.4,0,2.6,2.4,7.9,25.8,35,28.9,261.8,63.9,89.7
241,Capitol Region Education Council,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
25,Cheshire School District,2010-11,No,406,393,96.8,0,3.2,0,3.1,10.7,34.4,51.9,286.7,86.3,96.9
25,Cheshire School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
27,Clinton School District,2010-11,No,177,176,99.4,0,0.6,3.4,5.7,15.9,38.6,36.4,271.2,75,90.9
27,Clinton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
28,Colchester School District,2010-11,No,243,239,98.4,0,1.6,1.3,4.6,20.9,34.7,38.5,272.1,73.2,94.1
28,Colchester School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
30,Columbia School District,2010-11,No,52,48,92.3,0,7.7,2.1,2.1,20.8,41.7,33.3,271.2,75,95.8
243,Cooperative Educational Services,2010-11,No,35,35,100,0,0,0,8.6,40,34.3,17.1,256.7,51.4,91.4
31,Cornwall School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
32,Coventry School District,2010-11,No,153,141,92.2,0,7.8,1.4,5.7,28.4,39.7,24.8,259.7,64.5,92.9
33,Cromwell School District,2010-11,No,141,134,95,0,5,0.7,6,10.4,48.5,34.3,274.6,82.8,93.3
33,Cromwell School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
34,Danbury School District,2010-11,No,645,586,90.9,3.3,5.9,2.7,7.2,21.7,41.1,27.3,263.1,68.4,90.1
