District ID,District Name,School Year,FRL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
279,Amistad Academy District,2010-11,Free,28,24,85.7,3.6,10.7,12.5,4.2,20.8,54.2,8.3,239.3,62.5,83.3
279,Amistad Academy District,2010-11,Other,21,21,100,0,0,0,9.5,19,52.4,19,256.9,71.4,90.5
279,Amistad Academy District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,Free,69,66,95.7,1.4,2.9,22.7,3,16.7,45.5,12.1,236.7,57.6,74.2
2,Ansonia School District,2010-11,Other,91,86,94.5,0,5.5,15.1,12.8,17.4,34.9,19.8,244.5,54.7,72.1
2,Ansonia School District,2010-11,Reduced,27,26,96.3,0,3.7,23.1,15.4,19.2,38.5,3.8,226.5,42.3,61.5
244,Area Cooperative Educational Services,2010-11,Free,142,136,95.8,0.7,3.5,26.5,8.8,14.7,42.6,7.4,230.9,50,64.7
244,Area Cooperative Educational Services,2010-11,Other,122,116,95.1,0.8,4.1,14.7,8.6,9.5,39.7,27.6,254.2,67.2,76.7
244,Area Cooperative Educational Services,2010-11,Reduced,39,37,94.9,0,5.1,8.1,5.4,16.2,56.8,13.5,247.9,70.3,86.5
3,Ashford School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,Other,49,48,98,0,2,12.5,4.2,2.1,39.6,41.7,273.7,81.3,83.3
3,Ashford School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,Other,283,274,96.8,0,3.2,1.1,0,3.3,34.3,61.3,293,95.6,98.9
4,Avon School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,Other,225,217,96.4,0,3.6,0.9,2.8,5.5,38.7,52.1,281.5,90.8,96.3
7,Berlin School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
9,Bethel School District,2010-11,Free,29,27,93.1,0,6.9,11.1,14.8,7.4,33.3,33.3,251.6,66.7,74.1
9,Bethel School District,2010-11,Other,178,176,98.9,0,1.1,1.1,4.5,2.8,36.4,55.1,284.8,91.5,94.3
9,Bethel School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
11,Bloomfield School District,2010-11,Free,62,57,91.9,1.6,6.5,14,12.3,14,49.1,10.5,237.7,59.6,73.7
11,Bloomfield School District,2010-11,Other,63,60,95.2,0,4.8,10,5,11.7,58.3,15,247.5,73.3,85
11,Bloomfield School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,Other,57,55,96.5,0,3.5,5.5,5.5,10.9,49.1,29.1,271.2,78.2,89.1
12,Bolton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,Other,22,22,100,0,0,4.5,4.5,4.5,63.6,22.7,266.3,86.4,90.9
13,Bozrah School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
14,Branford School District,2010-11,Free,39,34,87.2,0,12.8,14.7,14.7,23.5,26.5,20.6,241.3,47.1,70.6
14,Branford School District,2010-11,Other,222,211,95,1.8,3.2,2.8,4.3,7.1,39.3,46.4,280.4,85.8,92.9
14,Branford School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
285,Bridgeport Achievement First,2010-11,Free,32,32,100,0,0,15.6,15.6,18.8,40.6,9.4,239.1,50,68.8
285,Bridgeport Achievement First,2010-11,Other,27,27,100,0,0,7.4,14.8,7.4,37,33.3,257.9,70.4,77.8
285,Bridgeport Achievement First,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
15,Bridgeport School District,2010-11,Free,1329,1206,90.7,1.5,7.8,29.1,13.1,15,37.3,5.5,225.2,42.8,57.8
15,Bridgeport School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
15,Bridgeport School District,2010-11,Reduced,32,30,93.8,0,6.3,13.3,0,23.3,46.7,16.7,246.1,63.3,86.7
17,Bristol School District,2010-11,Free,223,202,90.6,0.9,8.5,18.8,10.9,15.8,39.6,14.9,239.7,54.5,70.3
17,Bristol School District,2010-11,Other,383,374,97.7,0.3,2.1,4.5,3.7,6.4,50,35.3,269.5,85.3,91.7
17,Bristol School District,2010-11,Reduced,67,66,98.5,0,1.5,9.1,10.6,16.7,47,16.7,246.2,63.6,80.3
18,Brookfield School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
18,Brookfield School District,2010-11,Other,221,218,98.6,0,1.4,3.7,1.4,3.7,37.6,53.7,281,91.3,95
18,Brookfield School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,Other,79,79,100,0,0,5.1,3.8,13.9,46.8,30.4,261.3,77.2,91.1
19,Brooklyn School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,Other,47,46,97.9,0,2.1,4.3,2.2,4.3,56.5,32.6,268.9,89.1,93.5
22,Canterbury School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
23,Canton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
23,Canton School District,2010-11,Other,141,138,97.9,0,2.1,1.4,2.2,2.2,46.4,47.8,279.2,94.2,96.4
23,Canton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
241,Capitol Region Education Council,2010-11,Free,156,144,92.3,0,7.7,13.9,13.9,22.2,40.3,9.7,236.5,50,72.2
241,Capitol Region Education Council,2010-11,Other,213,211,99.1,0,0.9,3.3,4.7,5.7,37.4,48.8,281.6,86.3,91.9
241,Capitol Region Education Council,2010-11,Reduced,32,32,100,0,0,3.1,6.2,9.4,62.5,18.8,257,81.3,90.6
25,Cheshire School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
25,Cheshire School District,2010-11,Other,393,380,96.7,0.3,3.1,1.6,1.1,4.7,40,52.6,287.1,92.6,97.4
25,Cheshire School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
27,Clinton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
