District ID,District Name,School Year,ELL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
279,Amistad Academy District,2010-11,No,73,70,95.9,0,4.1,10,21.4,11.4,44.3,12.9,253.3,57.1,68.6
279,Amistad Academy District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
1,Andover School District,2010-11,No,35,34,97.1,0,2.9,2.9,0,2.9,50,44.1,293,94.1,97.1
2,Ansonia School District,2010-11,No,207,193,93.2,0,6.8,17.1,13.5,17.1,40.9,11.4,244.7,52.3,69.4
2,Ansonia School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,No,75,73,97.3,0,2.7,19.2,8.2,17.8,42.5,12.3,247.6,54.8,72.6
3,Ashford School District,2010-11,No,49,47,95.9,0,4.1,23.4,17,10.6,34,14.9,248.8,48.9,59.6
3,Ashford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,No,274,265,96.7,0.7,2.6,1.9,3.8,3.8,56.6,34,283,90.6,94.3
4,Avon School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
5,Barkhamsted School District,2010-11,No,53,53,100,0,0,1.9,1.9,15.1,50.9,30.2,275.7,81.1,96.2
7,Berlin School District,2010-11,No,233,228,97.9,0.4,1.7,7.5,4.8,10.5,59.6,17.5,265.3,77.2,87.7
7,Berlin School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
8,Bethany School District,2010-11,No,84,76,90.5,0,9.5,3.9,3.9,9.2,48.7,34.2,277.8,82.9,92.1
8,Bethany School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
9,Bethel School District,2010-11,No,234,229,97.9,0,2.1,5.7,7.4,11.4,48,27.5,270.1,75.5,86.9
9,Bethel School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
11,Bloomfield School District,2010-11,No,142,128,90.1,0,9.9,28.1,7.8,18.8,39.1,6.2,240.6,45.3,64.1
11,Bloomfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,No,57,54,94.7,0,5.3,9.3,9.3,14.8,46.3,20.4,266.9,66.7,81.5
13,Bozrah School District,2010-11,No,21,20,95.2,0,4.8,0,5,10,70,15,276.4,85,95
14,Branford School District,2010-11,No,225,209,92.9,0.4,6.7,7.2,7.2,23,48.8,13.9,259.1,62.7,85.6
14,Branford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
15,Bridgeport School District,2010-11,No,1403,1302,92.8,0.4,6.8,38.2,16.5,16.5,26,2.7,222,28.7,45.2
15,Bridgeport School District,2010-11,Yes,219,168,76.7,2.3,21,83.3,9.5,4.8,3.6,0,185.4,3.6,8.3
17,Bristol School District,2010-11,No,609,582,95.6,0,4.4,22.3,12.4,12.5,41.6,11.2,244.2,52.7,65.3
17,Bristol School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
18,Brookfield School District,2010-11,No,207,203,98.1,0,1.9,6.9,6.4,9.4,50.2,27.1,272.6,77.3,86.7
18,Brookfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,No,104,103,99,0,1,17.5,9.7,12.6,51.5,8.7,248.5,60.2,72.8
21,Canaan School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,No,63,62,98.4,0,1.6,12.9,4.8,19.4,51.6,11.3,250.3,62.9,82.3
23,Canton School District,2010-11,No,132,127,96.2,0,3.8,4.7,2.4,11,53.5,28.3,276.6,81.9,92.9
23,Canton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
241,Capitol Region Education Council,2010-11,No,137,130,94.9,0,5.1,7.7,3.8,12.3,53.1,23.1,270.2,76.2,88.5
24,Chaplin School District,2010-11,No,20,20,100,0,0,10,10,15,50,15,254.1,65,80
25,Cheshire School District,2010-11,No,356,347,97.5,0,2.5,6.1,9.2,13.5,46.1,25.1,268.2,71.2,84.7
25,Cheshire School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
26,Chester School District,2010-11,No,43,41,95.3,0,4.7,2.4,4.9,9.8,63.4,19.5,270.8,82.9,92.7
27,Clinton School District,2010-11,No,145,142,97.9,0,2.1,7.7,6.3,16.2,50,19.7,261.3,69.7,85.9
27,Clinton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
28,Colchester School District,2010-11,No,231,228,98.7,0.4,0.9,9.2,8.8,11.8,52.6,17.5,262.2,70.2,82
28,Colchester School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
29,Colebrook School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
30,Columbia School District,2010-11,No,59,57,96.6,0,3.4,7,14,8.8,49.1,21.1,264.8,70.2,78.9
243,Cooperative Educational Services,2010-11,No,46,42,91.3,0,8.7,11.9,7.1,21.4,45.2,14.3,255.1,59.5,81
31,Cornwall School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
32,Coventry School District,2010-11,No,120,114,95,0,5,11.4,4.4,10.5,57.9,15.8,261.1,73.7,84.2
33,Cromwell School District,2010-11,No,164,157,95.7,0,4.3,12.1,6.4,9.6,52.2,19.7,265,72,81.5
33,Cromwell School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
34,Danbury School District,2010-11,No,646,591,91.5,0.3,8.2,12.4,11.3,15.7,46.4,14.2,253.3,60.6,76.3
34,Danbury School District,2010-11,Yes,156,125,80.1,0.6,19.2,51.2,20,16,12,0.8,211.2,12.8,28.8
35,Darien School District,2010-11,No,373,365,97.9,0,2.1,3.8,2.7,7.9,53.4,32.1,279.6,85.5,93.4
35,Darien School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
36,Deep River School District,2010-11,No,53,51,96.2,0,3.8,7.8,7.8,7.8,58.8,17.6,261.4,76.5,84.3
36,Deep River School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
37,Derby School District,2010-11,No,112,103,92,0,8,24.3,12.6,13.6,42.7,6.8,239.6,49.5,63.1
37,Derby School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
40,East Granby School District,2010-11,No,77,75,97.4,0,2.6,9.3,12,8,53.3,17.3,261.2,70.7,78.7
41,East Haddam School District,2010-11,No,94,87,92.6,0,7.4,1.1,11.5,11.5,49.4,26.4,270.9,75.9,87.4
42,East Hampton School District,2010-11,No,155,148,95.5,0,4.5,4.7,6.8,16.2,58.1,14.2,260.4,72.3,88.5
43,East Hartford School District,2010-11,No,495,463,93.5,0,6.5,29.6,16.4,13,36.1,5,232,41,54
43,East Hartford School District,2010-11,Yes,59,51,86.4,0,13.6,62.7,19.6,7.8,9.8,0,197.5,9.8,17.6
44,East Haven School District,2010-11,No,222,208,93.7,0,6.3,27.9,12.5,17.3,37.5,4.8,235.9,42.3,59.6
44,East Haven School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
45,East Lyme School District,2010-11,No,203,199,98,0,2,5.5,9,8,51.8,25.6,270.6,77.4,85.4
45,East Lyme School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
47,East Windsor School District,2010-11,No,98,94,95.9,0,4.1,25.5,14.9,8.5,38.3,12.8,244.6,51.1,59.6
47,East Windsor School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
39,Eastford School District,2010-11,No,23,23,100,0,0,4.3,17.4,8.7,43.5,26.1,266.8,69.6,78.3
46,Easton School District,2010-11,No,126,120,95.2,0.8,4,5,3.3,6.7,49.2,35.8,282.5,85,91.7
48,Ellington School District,2010-11,No,215,209,97.2,0,2.8,8.6,8.1,10,49.3,23.9,265.2,73.2,83.3
48,Ellington School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
289,Elm City College Preparatory School,2010-11,No,55,53,96.4,0,3.6,18.9,22.6,5.7,47.2,5.7,239.9,52.8,58.5
49,Enfield School District,2010-11,No,413,389,94.2,0,5.8,9.5,11.8,13.4,52.4,12.9,255.8,65.3,78.7
49,Enfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
50,Essex School District,2010-11,No,72,71,98.6,0,1.4,5.6,4.2,11.3,42.3,36.6,279.6,78.9,90.1
50,Essex School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
51,Fairfield School District,2010-11,No,832,800,96.2,0.2,3.6,5.2,4.1,9,50.5,31.1,275.8,81.6,90.6
51,Fairfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
52,Farmington School District,2010-11,No,275,265,96.4,0,3.6,1.9,3.4,10.9,50.6,33.2,279.6,83.8,94.7
52,Farmington School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
53,Franklin School District,2010-11,No,21,20,95.2,0,4.8,0,0,10,55,35,281,90,100
54,Glastonbury School District,2010-11,No,525,512,97.5,0.4,2.1,4.7,6.2,11.1,54.1,23.8,270.7,77.9,89.1
54,Glastonbury School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
56,Granby School District,2010-11,No,169,163,96.4,0,3.6,5.5,5.5,12.3,50.9,25.8,269.4,76.7,89
56,Granby School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
57,Greenwich School District,2010-11,No,676,664,98.2,0,1.8,4.2,4.8,8.3,48.6,34,278.3,82.7,91
57,Greenwich School District,2010-11,Yes,45,29,64.4,0,35.6,31,13.8,24.1,24.1,6.9,226.7,31,55.2
58,Griswold School District,2010-11,No,144,131,91,0,9,9.9,9.2,22.1,47.3,11.5,254.2,58.8,80.9
59,Groton School District,2010-11,No,357,340,95.2,0,4.8,17.4,7.9,10.3,44.1,20.3,257.4,64.4,74.7
59,Groton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
60,Guilford School District,2010-11,No,268,266,99.3,0,0.7,6,4.5,7.5,50,32,275.3,82,89.5
60,Guilford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
62,Hamden School District,2010-11,No,383,346,90.3,0,9.7,13.6,9.8,16.2,46,14.5,253.9,60.4,76.6
62,Hamden School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
63,Hampton School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
64,Hartford School District,2010-11,No,1309,1144,87.4,0.5,12.1,33.2,18,16.3,28.8,3.7,226.6,32.4,48.8
64,Hartford School District,2010-11,Yes,273,196,71.8,1.1,27.1,75,13.3,6.1,5.6,0,188,5.6,11.7
65,Hartland School District,2010-11,No,23,21,91.3,0,8.7,9.5,0,0,61.9,28.6,274.9,90.5,90.5
67,Hebron School District,2010-11,No,147,142,96.6,0,3.4,3.5,4.2,7,50,35.2,281.3,85.2,92.3
286,Highville Charter School District,2010-11,No,37,35,94.6,0,5.4,25.7,28.6,11.4,31.4,2.9,227.9,34.3,45.7
264,Integrated Day Charter School District,2010-11,No,33,32,97,0,3,34.4,12.5,6.2,37.5,9.4,235.7,46.9,53.1
261,Jumoke Academy District,2010-11,No,47,44,93.6,0,6.4,29.5,9.1,13.6,34.1,13.6,241.6,47.7,61.4
68,Kent School District,2010-11,No,33,32,97,0,3,18.8,3.1,15.6,50,12.5,252.7,62.5,78.1
69,Killingly School District,2010-11,No,193,185,95.9,0,4.1,23.2,8.1,10.3,44.3,14.1,248.8,58.4,68.6
69,Killingly School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
245,Learn,2010-11,No,77,76,98.7,0,1.3,13.2,15.8,6.6,42.1,22.4,258.7,64.5,71.1
245,Learn,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
71,Lebanon School District,2010-11,No,96,93,96.9,1,2.1,8.6,7.5,21.5,48.4,14,256.4,62.4,83.9
72,Ledyard School District,2010-11,No,170,163,95.9,0,4.1,6.1,7.4,12.3,47.2,27,270.1,74.2,86.5
72,Ledyard School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
73,Lisbon School District,2010-11,No,55,53,96.4,0,3.6,15.1,9.4,15.1,52.8,7.5,255.6,60.4,75.5
74,Litchfield School District,2010-11,No,78,78,100,0,0,5.1,6.4,10.3,52.6,25.6,272.7,78.2,88.5
76,Madison School District,2010-11,No,248,243,98,0,2,3.3,2.1,3.3,56.4,35,284.1,91.4,94.7
76,Madison School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
77,Manchester School District,2010-11,No,477,435,91.2,0,8.8,13.6,12.9,14.9,43.9,14.7,252.3,58.6,73.6
77,Manchester School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
78,Mansfield School District,2010-11,No,128,127,99.2,0,0.8,7.1,7.1,9.4,48.8,27.6,271.7,76.4,85.8
78,Mansfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
79,Marlborough School District,2010-11,No,105,102,97.1,0,2.9,2.9,8.8,3.9,53.9,30.4,274.8,84.3,88.2
80,Meriden School District,2010-11,No,582,543,93.3,0.5,6.2,22.5,11,15.3,41.8,9.4,243.5,51.2,66.5
80,Meriden School District,2010-11,Yes,86,65,75.6,1.2,23.3,73.8,13.8,7.7,6.2,0,193.1,6.2,13.8
83,Middletown School District,2010-11,No,432,412,95.4,0,4.6,16,11.7,11.2,43.2,18,253.7,61.2,72.3
83,Middletown School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
84,Milford School District,2010-11,No,555,543,97.8,0.2,2,12,10.3,10.9,51,15.8,257.4,66.9,77.7
84,Milford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
85,Monroe School District,2010-11,No,246,230,93.5,0.4,6.1,1.7,2.2,5.7,53.5,37,284,90.4,96.1
85,Monroe School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
86,Montville School District,2010-11,No,200,193,96.5,0,3.5,14,10.9,16.1,43.5,15.5,252.3,59.1,75.1
86,Montville School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
88,Naugatuck School District,2010-11,No,336,325,96.7,0.3,3,20.6,8.6,16.9,46.5,7.4,243.6,53.8,70.8
88,Naugatuck School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
280,"New Beginnings Inc., Family Academy District",2010-11,No,44,42,95.5,0,4.5,45.2,16.7,14.3,23.8,0,214.6,23.8,38.1
