District ID,District Name,School Year,Special Education Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
279,Amistad Academy District,2010-11,N,69,69,100,0,0,11.6,21.7,11.6,43.5,11.6,251.7,55.1,66.7
279,Amistad Academy District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
1,Andover School District,2010-11,N,33,33,100,0,0,3,0,3,48.5,45.5,294.3,93.9,97
1,Andover School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,N,187,187,100,0,0,15.5,13.4,18.2,41.7,11.2,246.1,52.9,71.1
2,Ansonia School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,N,67,67,100,0,0,16.4,9,14.9,46.3,13.4,251.4,59.7,74.6
244,Area Cooperative Educational Services,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,N,45,45,100,0,0,24.4,13.3,11.1,35.6,15.6,249,51.1,62.2
3,Ashford School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,N,249,246,98.8,0.8,0.4,0,2,3.3,59.3,35.4,286.6,94.7,98
4,Avon School District,2010-11,Y,33,26,78.8,0,21.2,19.2,23.1,11.5,34.6,11.5,240.5,46.2,57.7
5,Barkhamsted School District,2010-11,N,50,50,100,0,0,2,0,16,50,32,277.4,82,98
5,Barkhamsted School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,N,218,217,99.5,0.5,0,6.5,4.1,9.7,61.3,18.4,267.4,79.7,89.4
7,Berlin School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
8,Bethany School District,2010-11,N,71,71,100,0,0,0,4.2,7,52.1,36.6,283.4,88.7,95.8
8,Bethany School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
9,Bethel School District,2010-11,N,209,208,99.5,0,0.5,2.9,6.2,10.1,51.4,29.3,274.2,80.8,90.9
9,Bethel School District,2010-11,Y,28,23,82.1,0,17.9,34.8,17.4,26.1,13,8.7,228.5,21.7,47.8
11,Bloomfield School District,2010-11,N,130,129,99.2,0,0.8,28.7,8.5,18.6,38,6.2,240,44.2,62.8
11,Bloomfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,N,54,54,100,0,0,9.3,9.3,14.8,46.3,20.4,266.9,66.7,81.5
12,Bolton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,N,20,20,100,0,0,0,5,10,70,15,276.4,85,95
13,Bozrah School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
14,Branford School District,2010-11,N,198,195,98.5,0.5,1,5.6,6.2,22.6,51.3,14.4,260.2,65.6,88.2
14,Branford School District,2010-11,Y,43,27,62.8,0,37.2,29.6,18.5,29.6,18.5,3.7,229.6,22.2,51.9
15,Bridgeport School District,2010-11,N,1408,1368,97.2,0.5,2.3,40.4,16.5,15.8,24.9,2.6,221.4,27.4,43.2
15,Bridgeport School District,2010-11,Y,214,102,47.7,1.4,50.9,83.3,4.9,6.9,4.9,0,169.9,4.9,11.8
17,Bristol School District,2010-11,N,517,513,99.2,0,0.8,14,13.1,14,46.2,12.7,252.1,58.9,72.9
17,Bristol School District,2010-11,Y,113,87,77,0,23,79.3,6.9,5.7,8,0,189.1,8,13.8
18,Brookfield School District,2010-11,N,191,190,99.5,0,0.5,3.7,6.3,8.9,52.1,28.9,276.6,81.1,90
18,Brookfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,N,90,90,100,0,0,10,10,12.2,57.8,10,256.2,67.8,80
19,Brooklyn School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,N,53,53,100,0,0,0,3.8,22.6,60.4,13.2,261.7,73.6,96.2
22,Canterbury School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
23,Canton School District,2010-11,N,124,123,99.2,0,0.8,4.9,2.4,11.4,52.8,28.5,277.4,81.3,92.7
23,Canton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
241,Capitol Region Education Council,2010-11,N,122,122,100,0,0,5.7,4.1,11.5,54.1,24.6,273.6,78.7,90.2
241,Capitol Region Education Council,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
24,Chaplin School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
24,Chaplin School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
25,Cheshire School District,2010-11,N,323,323,100,0,0,4.6,8.4,12.7,47.4,26.9,271.3,74.3,87
25,Cheshire School District,2010-11,Y,35,26,74.3,0,25.7,26.9,23.1,23.1,26.9,0,225.3,26.9,50
26,Chester School District,2010-11,N,41,41,100,0,0,2.4,4.9,9.8,63.4,19.5,270.8,82.9,92.7
26,Chester School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
27,Clinton School District,2010-11,N,133,133,100,0,0,6,4.5,17.3,51.1,21.1,263.8,72.2,89.5
27,Clinton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
28,Colchester School District,2010-11,N,208,207,99.5,0.5,0,4.8,7.7,11.6,56.5,19.3,267.6,75.8,87.4
28,Colchester School District,2010-11,Y,24,22,91.7,0,8.3,54.5,18.2,13.6,13.6,0,208.9,13.6,27.3
29,Colebrook School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
29,Colebrook School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
30,Columbia School District,2010-11,N,53,53,100,0,0,3.8,13.2,7.5,52.8,22.6,270.8,75.5,83
30,Columbia School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
243,Cooperative Educational Services,2010-11,N,41,41,100,0,0,12.2,7.3,22,43.9,14.6,255.3,58.5,80.5
243,Cooperative Educational Services,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
31,Cornwall School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
31,Cornwall School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
32,Coventry School District,2010-11,N,109,109,100,0,0,8.3,4.6,10.1,60.6,16.5,263.8,77.1,87.2
32,Coventry School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
33,Cromwell School District,2010-11,N,149,149,100,0,0,8.1,7.4,10.7,53,20.8,268.4,73.8,84.6
33,Cromwell School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
34,Danbury School District,2010-11,N,704,685,97.3,0.3,2.4,17.7,12.6,16.1,41.5,12.3,247.5,53.7,69.8
34,Danbury School District,2010-11,Y,98,31,31.6,1,67.3,51.6,19.4,9.7,16.1,3.2,212.5,19.4,29
35,Darien School District,2010-11,N,318,317,99.7,0,0.3,0.6,1.9,6.3,54.9,36.3,285.7,91.2,97.5
35,Darien School District,2010-11,Y,56,49,87.5,0,12.5,24.5,10.2,18.4,42.9,4.1,239.2,46.9,65.3
36,Deep River School District,2010-11,N,50,49,98,0,2,6.1,8.2,8.2,59.2,18.4,262.4,77.6,85.7
36,Deep River School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
37,Derby School District,2010-11,N,103,103,100,0,0,26.2,11.7,12.6,42.7,6.8,238.7,49.5,62.1
37,Derby School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
40,East Granby School District,2010-11,N,68,67,98.5,0,1.5,6,10.4,6,58.2,19.4,266.3,77.6,83.6
40,East Granby School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
41,East Haddam School District,2010-11,N,77,77,100,0,0,1.3,7.8,11.7,49.4,29.9,275.1,79.2,90.9
41,East Haddam School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
42,East Hampton School District,2010-11,N,144,143,99.3,0,0.7,4.9,5.6,14.7,60.1,14.7,261.5,74.8,89.5
42,East Hampton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
43,East Hartford School District,2010-11,N,474,469,98.9,0,1.1,28.4,17.5,13.2,36,4.9,233.3,40.9,54.2
43,East Hartford School District,2010-11,Y,80,45,56.3,0,43.8,80,8.9,4.4,6.7,0,179.7,6.7,11.1
44,East Haven School District,2010-11,N,211,208,98.6,0,1.4,25,13.5,17.8,38.9,4.8,237.4,43.8,61.5
44,East Haven School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
45,East Lyme School District,2010-11,N,178,178,100,0,0,3.4,7.3,8.4,53.4,27.5,274.1,80.9,89.3
45,East Lyme School District,2010-11,Y,26,22,84.6,0,15.4,22.7,22.7,9.1,36.4,9.1,241.1,45.5,54.5
47,East Windsor School District,2010-11,N,91,91,100,0,0,20.9,16.5,9.9,39.6,13.2,246.8,52.7,62.6
47,East Windsor School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
39,Eastford School District,2010-11,N,22,22,100,0,0,0,18.2,9.1,45.5,27.3,269.9,72.7,81.8
39,Eastford School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
46,Easton School District,2010-11,N,114,114,100,0,0,3.5,3.5,5.3,51.8,36,284.4,87.7,93
46,Easton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
48,Ellington School District,2010-11,N,193,193,100,0,0,5.2,6.7,9.8,52.3,25.9,269.6,78.2,88.1
48,Ellington School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
