District ID,District Name,School Year,ELL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
288,Achievement First Hartford Academy Inc.,2010-11,No,78,78,100,0,0,1.3,10.3,26.9,46.2,15.4,252.3,61.5,88.5
279,Amistad Academy District,2010-11,No,71,70,98.6,0,1.4,4.3,12.9,21.4,47.1,14.3,247.1,61.4,82.9
279,Amistad Academy District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
1,Andover School District,2010-11,No,49,48,98,0,2,2.1,2.1,12.5,43.8,39.6,273.6,83.3,95.8
2,Ansonia School District,2010-11,No,190,181,95.3,1.1,3.7,11,12.7,20.4,41.4,14.4,243.1,55.8,76.2
2,Ansonia School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,No,74,72,97.3,0,2.7,6.9,12.5,25,43.1,12.5,246.3,55.6,80.6
3,Ashford School District,2010-11,No,30,30,100,0,0,3.3,10,20,56.7,10,255.7,66.7,86.7
3,Ashford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,No,258,254,98.4,0,1.6,0.8,2.4,12.2,40.9,43.7,285,84.6,96.9
4,Avon School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
5,Barkhamsted School District,2010-11,No,35,35,100,0,0,0,11.4,5.7,57.1,25.7,262.2,82.9,88.6
7,Berlin School District,2010-11,No,199,195,98,0,2,3.6,6.7,19,53.3,17.4,256.7,70.8,89.7
7,Berlin School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
8,Bethany School District,2010-11,No,75,74,98.7,0,1.3,6.8,8.1,18.9,51.4,14.9,248.3,66.2,85.1
9,Bethel School District,2010-11,No,189,185,97.9,0,2.1,2.2,4.3,9.7,51.4,32.4,274.7,83.8,93.5
9,Bethel School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
11,Bloomfield School District,2010-11,No,133,129,97,0,3,3.1,6.2,28.7,50.4,11.6,250.7,62,90.7
11,Bloomfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,No,50,50,100,0,0,14,4,16,38,28,256.7,66,82
12,Bolton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,No,22,21,95.5,0,4.5,9.5,9.5,38.1,42.9,0,230,42.9,81
14,Branford School District,2010-11,No,239,233,97.5,0.4,2.1,9,10.3,16.3,39.9,24.5,256.7,64.4,80.7
14,Branford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
15,Bridgeport School District,2010-11,No,1509,1455,96.4,0.1,3.5,20.9,21.6,25.4,27.3,4.8,220.4,32.1,57.5
15,Bridgeport School District,2010-11,Yes,196,156,79.6,3.6,16.8,44.2,27.6,21.2,7.1,0,193.6,7.1,28.2
17,Bristol School District,2010-11,No,527,510,96.8,0,3.2,8.8,14.7,21,43.1,12.4,242.8,55.5,76.5
17,Bristol School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
18,Brookfield School District,2010-11,No,168,166,98.8,0.6,0.6,3.6,3.6,16.3,45.2,31.3,270.1,76.5,92.8
19,Brooklyn School District,2010-11,No,94,94,100,0,0,6.4,9.6,18.1,42.6,23.4,255.6,66,84
19,Brooklyn School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,No,70,69,98.6,0,1.4,4.3,5.8,14.5,49.3,26.1,260.1,75.4,89.9
23,Canton School District,2010-11,No,141,139,98.6,0,1.4,4.3,7.2,15.8,50.4,22.3,262.3,72.7,88.5
23,Canton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
