District ID,District Name,School Year,ELL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
279,Amistad Academy District,2010-11,No,73,72,98.6,0,1.4,2.8,11.1,29.2,38.9,18.1,246.3,56.9,86.1
279,Amistad Academy District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
1,Andover School District,2010-11,No,35,35,100,0,0,0,0,8.6,37.1,54.3,277.3,91.4,100
2,Ansonia School District,2010-11,No,207,203,98.1,0,1.9,4.9,4.4,24.6,46.8,19.2,251.6,66,90.6
2,Ansonia School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,No,75,75,100,0,0,5.3,6.7,20,46.7,21.3,250.3,68,88
3,Ashford School District,2010-11,No,49,48,98,0,2,6.2,16.7,14.6,43.8,18.8,247.2,62.5,77.1
3,Ashford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,No,274,272,99.3,0,0.7,0.7,2.6,5.9,41.5,49.3,280.4,90.8,96.7
4,Avon School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
5,Barkhamsted School District,2010-11,No,53,53,100,0,0,0,1.9,3.8,49.1,45.3,281.2,94.3,98.1
7,Berlin School District,2010-11,No,233,232,99.6,0,0.4,2.6,1.7,14.7,49.1,31.9,263.6,81,95.7
7,Berlin School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
8,Bethany School District,2010-11,No,84,83,98.8,0,1.2,6,3.6,10.8,55.4,24.1,259.4,79.5,90.4
8,Bethany School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
9,Bethel School District,2010-11,No,234,229,97.9,0,2.1,0.4,3.5,16.6,42.8,36.7,268,79.5,96.1
9,Bethel School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
11,Bloomfield School District,2010-11,No,142,141,99.3,0,0.7,2.8,15.6,31.2,42.6,7.8,236.7,50.4,81.6
11,Bloomfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,No,57,57,100,0,0,1.8,7,17.5,36.8,36.8,269,73.7,91.2
13,Bozrah School District,2010-11,No,21,21,100,0,0,4.8,4.8,4.8,33.3,52.4,281.7,85.7,90.5
14,Branford School District,2010-11,No,225,219,97.3,0.4,2.2,2.7,6.8,25.1,47,18.3,251.2,65.3,90.4
14,Branford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
15,Bridgeport School District,2010-11,No,1403,1350,96.2,0.5,3.3,12.8,19.9,30.5,31.2,5.6,224.3,36.8,67.3
15,Bridgeport School District,2010-11,Yes,219,183,83.6,1.4,15.1,34.4,32.8,25.7,6.6,0.5,195.7,7.1,32.8
17,Bristol School District,2010-11,No,609,601,98.7,0,1.3,8,11.8,22.8,45.1,12.3,240,57.4,80.2
17,Bristol School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
18,Brookfield School District,2010-11,No,207,205,99,0,1,0.5,6.8,10.7,43.9,38,268.3,82,92.7
18,Brookfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,No,104,104,100,0,0,3.8,8.7,16.3,37.5,33.7,261.3,71.2,87.5
21,Canaan School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,No,63,63,100,0,0,6.3,9.5,14.3,46,23.8,254.6,69.8,84.1
23,Canton School District,2010-11,No,132,128,97,1.5,1.5,0.8,3.9,15.6,48.4,31.2,263.8,79.7,95.3
23,Canton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
241,Capitol Region Education Council,2010-11,No,137,137,100,0,0,2.2,6.6,23.4,40.1,27.7,256.7,67.9,91.2
24,Chaplin School District,2010-11,No,20,20,100,0,0,10,5,50,25,10,236.3,35,85
25,Cheshire School District,2010-11,No,356,354,99.4,0,0.6,1.7,3.1,11.3,46.9,37,270.6,83.9,95.2
25,Cheshire School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
26,Chester School District,2010-11,No,43,43,100,0,0,0,4.7,11.6,58.1,25.6,264.5,83.7,95.3
27,Clinton School District,2010-11,No,145,145,100,0,0,1.4,6.9,19.3,47.6,24.8,255.7,72.4,91.7
27,Clinton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
28,Colchester School District,2010-11,No,231,229,99.1,0,0.9,1.3,4.8,21,39.3,33.6,264,72.9,93.9
28,Colchester School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
29,Colebrook School District,2010-11,No,20,20,100,0,0,5,15,10,30,40,255.8,70,80
30,Columbia School District,2010-11,No,59,57,96.6,0,3.4,1.8,3.5,15.8,33.3,45.6,272.4,78.9,94.7
243,Cooperative Educational Services,2010-11,No,46,46,100,0,0,2.2,6.5,34.8,45.7,10.9,245.1,56.5,91.3
31,Cornwall School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
32,Coventry School District,2010-11,No,120,119,99.2,0,0.8,2.5,9.2,14.3,47.1,26.9,256.3,73.9,88.2
33,Cromwell School District,2010-11,No,164,161,98.2,0,1.8,1.2,9.3,16.8,36.6,36,266.3,72.7,89.4
33,Cromwell School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
34,Danbury School District,2010-11,No,646,631,97.7,0.2,2.2,5.4,9,20,48.7,17,248.2,65.6,85.6
34,Danbury School District,2010-11,Yes,156,137,87.8,0.6,11.5,10.9,19,42.3,26.3,1.5,221.2,27.7,70.1
35,Darien School District,2010-11,No,373,369,98.9,0,1.1,0.5,3.5,9.2,40.1,46.6,277.8,86.7,95.9
35,Darien School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
36,Deep River School District,2010-11,No,53,53,100,0,0,3.8,3.8,18.9,49.1,24.5,257.8,73.6,92.5
36,Deep River School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
37,Derby School District,2010-11,No,112,110,98.2,0.9,0.9,6.4,11.8,16.4,43.6,21.8,248.2,65.5,81.8
37,Derby School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
40,East Granby School District,2010-11,No,77,76,98.7,0,1.3,0,5.3,19.7,42.1,32.9,271.4,75,94.7
41,East Haddam School District,2010-11,No,94,93,98.9,0,1.1,4.3,7.5,4.3,36.6,47.3,278.4,83.9,88.2
42,East Hampton School District,2010-11,No,155,154,99.4,0,0.6,3.2,9.7,24,39,24,255.1,63,87
43,East Hartford School District,2010-11,No,495,478,96.6,0,3.4,7.3,12.3,29.5,40.4,10.5,237,50.8,80.3
43,East Hartford School District,2010-11,Yes,59,52,88.1,0,11.9,19.2,23.1,38.5,17.3,1.9,214,19.2,57.7
44,East Haven School District,2010-11,No,222,218,98.2,0,1.8,8.3,14.7,28,39,10.1,235,49.1,77.1
44,East Haven School District,2010-11,Yes,24,21,87.5,0,12.5,14.3,19,47.6,19,0,215,19,66.7
45,East Lyme School District,2010-11,No,203,203,100,0,0,1.5,3,16.7,43.8,35,267,78.8,95.6
45,East Lyme School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
47,East Windsor School District,2010-11,No,98,98,100,0,0,5.1,14.3,29.6,37.8,13.3,242.7,51,80.6
47,East Windsor School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
39,Eastford School District,2010-11,No,23,23,100,0,0,0,8.7,13,47.8,30.4,260.2,78.3,91.3
46,Easton School District,2010-11,No,126,123,97.6,0.8,1.6,3.3,7.3,10.6,30.1,48.8,277.1,78.9,89.4
48,Ellington School District,2010-11,No,215,215,100,0,0,3.7,6,10.2,40.5,39.5,269.7,80,90.2
48,Ellington School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
289,Elm City College Preparatory School,2010-11,No,55,54,98.2,0,1.8,0,9.3,16.7,53.7,20.4,256.3,74.1,90.7
49,Enfield School District,2010-11,No,413,398,96.4,0,3.6,3.5,10.1,27.9,44.5,14.1,243.7,58.5,86.4
49,Enfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
50,Essex School District,2010-11,No,72,72,100,0,0,0,4.2,8.3,41.7,45.8,279.4,87.5,95.8
50,Essex School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
51,Fairfield School District,2010-11,No,832,821,98.7,0.2,1.1,2.6,3.5,11,45.2,37.8,267.9,82.9,93.9
51,Fairfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
52,Farmington School District,2010-11,No,275,269,97.8,0,2.2,0.7,2.6,8.9,37.5,50.2,281.8,87.7,96.7
52,Farmington School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
53,Franklin School District,2010-11,No,21,21,100,0,0,4.8,0,4.8,33.3,57.1,287.1,90.5,95.2
54,Glastonbury School District,2010-11,No,525,521,99.2,0,0.8,2.1,2.1,13.2,40.5,42,272.2,82.5,95.8
54,Glastonbury School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
56,Granby School District,2010-11,No,169,169,100,0,0,1.2,6.5,5.3,40.2,46.7,276.3,87,92.3
56,Granby School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
57,Greenwich School District,2010-11,No,676,674,99.7,0,0.3,1.5,4,13.5,42.1,38.9,270.1,81,94.5
57,Greenwich School District,2010-11,Yes,45,31,68.9,0,31.1,6.5,6.5,35.5,29,22.6,246.4,51.6,87.1
