District ID,District Name,School Year,FRL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
279,Amistad Academy District,2010-11,Free,48,46,95.8,0,4.2,6.5,26.1,13,41.3,13,255.5,54.3,67.4
279,Amistad Academy District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
279,Amistad Academy District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
1,Andover School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
1,Andover School District,2010-11,Other,31,31,100,0,0,3.2,0,3.2,45.2,48.4,294.7,93.5,96.8
1,Andover School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,Free,112,100,89.3,0,10.7,24,17,18,34,7,234.5,41,59
2,Ansonia School District,2010-11,Other,77,73,94.8,0,5.2,8.2,9.6,16.4,46.6,19.2,257.7,65.8,82.2
2,Ansonia School District,2010-11,Reduced,23,23,100,0,0,17.4,8.7,17.4,52.2,4.3,246.2,56.5,73.9
244,Area Cooperative Educational Services,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,Other,50,48,96,0,4,14.6,10.4,20.8,39.6,14.6,251.3,54.2,75
244,Area Cooperative Educational Services,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,Other,36,34,94.4,0,5.6,14.7,17.6,14.7,35.3,17.6,254.5,52.9,67.6
3,Ashford School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,Other,261,252,96.6,0.8,2.7,1.6,4,3.6,56.3,34.5,283.4,90.9,94.4
4,Avon School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
5,Barkhamsted School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
5,Barkhamsted School District,2010-11,Other,48,48,100,0,0,2.1,2.1,16.7,45.8,33.3,276.9,79.2,95.8
5,Barkhamsted School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,Other,214,210,98.1,0.5,1.4,7.1,4.8,11,58.1,19,266.1,77.1,88.1
7,Berlin School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
8,Bethany School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
8,Bethany School District,2010-11,Other,81,74,91.4,0,8.6,4.1,4.1,9.5,47.3,35.1,278,82.4,91.9
9,Bethel School District,2010-11,Free,29,27,93.1,0,6.9,3.7,11.1,18.5,55.6,11.1,256.1,66.7,85.2
9,Bethel School District,2010-11,Other,195,191,97.9,0,2.1,6.3,6.8,9.4,47.1,30.4,272.2,77.5,86.9
9,Bethel School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
11,Bloomfield School District,2010-11,Free,56,48,85.7,0,14.3,35.4,8.3,12.5,39.6,4.2,233.1,43.8,56.3
11,Bloomfield School District,2010-11,Other,76,69,90.8,0,9.2,27.5,4.3,20.3,39.1,8.7,244.3,47.8,68.1
11,Bloomfield School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,Other,50,47,94,0,6,8.5,8.5,10.6,48.9,23.4,271.6,72.3,83
13,Bozrah School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
14,Branford School District,2010-11,Free,42,37,88.1,0,11.9,18.9,8.1,35.1,35.1,2.7,236.3,37.8,73
14,Branford School District,2010-11,Other,184,171,92.9,0,7.1,5.3,7,21.1,50.3,16.4,262.1,66.7,87.7
14,Branford School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
15,Bridgeport School District,2010-11,Free,1613,1465,90.8,0.6,8.6,43.5,15.7,15.2,23.3,2.4,217.8,25.7,41
15,Bridgeport School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
15,Bridgeport School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
17,Bristol School District,2010-11,Free,252,239,94.8,0,5.2,33.1,17.6,16.3,28,5,227.7,33.1,49.4
17,Bristol School District,2010-11,Other,332,317,95.5,0,4.5,14.2,8.5,11,50.5,15.8,256,66.2,77.3
17,Bristol School District,2010-11,Reduced,46,44,95.7,0,4.3,38.6,9.1,6.8,38.6,6.8,231.7,45.5,52.3
18,Brookfield School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
18,Brookfield School District,2010-11,Other,192,190,99,0,1,5.8,5.3,10,51.6,27.4,274.2,78.9,88.9
18,Brookfield School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,Free,20,20,100,0,0,25,30,5,40,0,229.7,40,45
19,Brooklyn School District,2010-11,Other,82,82,100,0,0,14.6,4.9,14.6,54.9,11,253.7,65.9,80.5
19,Brooklyn School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,Other,47,47,100,0,0,10.6,2.1,19.1,55.3,12.8,254.5,68.1,87.2
22,Canterbury School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
23,Canton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
23,Canton School District,2010-11,Other,127,122,96.1,0,3.9,3.3,2.5,9.8,54.9,29.5,279.4,84.4,94.3
241,Capitol Region Education Council,2010-11,Free,44,40,90.9,0,9.1,12.5,12.5,12.5,52.5,10,252.4,62.5,75
241,Capitol Region Education Council,2010-11,Other,84,83,98.8,0,1.2,3.6,0,12,53,31.3,281.1,84.3,96.4
241,Capitol Region Education Council,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
24,Chaplin School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
