District ID,District Name,School Year,FRL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
288,Achievement First Hartford Academy Inc.,2010-11,Free,57,56,98.2,0,1.8,0,7.1,30.4,44.6,17.9,256.8,62.5,92.9
288,Achievement First Hartford Academy Inc.,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
288,Achievement First Hartford Academy Inc.,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
279,Amistad Academy District,2010-11,Free,47,46,97.9,0,2.1,0,4.3,21.7,37,37,269.4,73.9,95.7
279,Amistad Academy District,2010-11,Other,20,20,100,0,0,0,0,20,25,55,287.6,80,100
279,Amistad Academy District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
1,Andover School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
1,Andover School District,2010-11,Other,41,40,97.6,0,2.4,0,0,27.5,30,42.5,272.4,72.5,100
1,Andover School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,Free,113,101,89.4,0,10.6,14.9,12.9,35.6,26.7,9.9,234.9,36.6,72.3
2,Ansonia School District,2010-11,Other,63,57,90.5,0,9.5,3.5,7,21.1,38.6,29.8,268.4,68.4,89.5
2,Ansonia School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,Other,50,49,98,0,2,8.2,6.1,32.7,34.7,18.4,248.6,53.1,85.7
244,Area Cooperative Educational Services,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,Other,24,24,100,0,0,4.2,8.3,20.8,29.2,37.5,265.1,66.7,87.5
3,Ashford School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,Other,248,239,96.4,0.4,3.2,0,3.8,14.6,38.1,43.5,281.1,81.6,96.2
4,Avon School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
5,Barkhamsted School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
5,Barkhamsted School District,2010-11,Other,34,33,97.1,0,2.9,0,0,18.2,51.5,30.3,269.9,81.8,100
7,Berlin School District,2010-11,Free,21,21,100,0,0,9.5,9.5,52.4,14.3,14.3,238.1,28.6,81
7,Berlin School District,2010-11,Other,180,175,97.2,0,2.8,0.6,4.6,17.7,27.4,49.7,282,77.1,94.9
7,Berlin School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
8,Bethany School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
8,Bethany School District,2010-11,Other,74,71,95.9,0,4.1,1.4,4.2,28.2,45.1,21.1,262.1,66.2,94.4
9,Bethel School District,2010-11,Free,25,24,96,0,4,4.2,4.2,4.2,37.5,50,283.5,87.5,91.7
9,Bethel School District,2010-11,Other,169,166,98.2,0,1.8,1.2,1.2,10.2,38.6,48.8,288.2,87.3,97.6
9,Bethel School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
11,Bloomfield School District,2010-11,Free,54,48,88.9,0,11.1,6.2,20.8,41.7,20.8,10.4,231.7,31.3,72.9
11,Bloomfield School District,2010-11,Other,76,71,93.4,0,6.6,1.4,11.3,21.1,43.7,22.5,257.9,66.2,87.3
11,Bloomfield School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,Other,39,36,92.3,2.6,5.1,2.8,5.6,5.6,44.4,41.7,278.7,86.1,91.7
12,Bolton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
14,Branford School District,2010-11,Free,44,42,95.5,2.3,2.3,7.1,11.9,28.6,38.1,14.3,245.3,52.4,81
14,Branford School District,2010-11,Other,195,186,95.4,0,4.6,3.2,2.7,14,41.4,38.7,277.3,80.1,94.1
14,Branford School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
15,Bridgeport School District,2010-11,Free,1695,1616,95.3,0.4,4.3,26.7,17.6,28.2,21.3,6.1,215.6,27.4,55.6
15,Bridgeport School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
15,Bridgeport School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
17,Bristol School District,2010-11,Free,205,193,94.1,0,5.9,18.1,17.1,26.9,21.8,16.1,232,37.8,64.8
17,Bristol School District,2010-11,Other,301,296,98.3,0,1.7,3,4.1,17.6,31.8,43.6,275.5,75.3,92.9
17,Bristol School District,2010-11,Reduced,43,42,97.7,0,2.3,16.7,11.9,31,26.2,14.3,233.2,40.5,71.4
18,Brookfield School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
18,Brookfield School District,2010-11,Other,154,152,98.7,0,1.3,3.3,4.6,13.2,42.1,36.8,271.8,78.9,92.1
18,Brookfield School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,Free,21,20,95.2,0,4.8,5,15,25,40,15,242.9,55,80
19,Brooklyn School District,2010-11,Other,67,65,97,0,3,1.5,6.2,23.1,38.5,30.8,266.9,69.2,92.3
19,Brooklyn School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,Other,53,52,98.1,0,1.9,1.9,1.9,23.1,44.2,28.8,269.2,73.1,96.2
22,Canterbury School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
23,Canton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
23,Canton School District,2010-11,Other,135,133,98.5,0,1.5,3.8,6.8,17.3,36.8,35.3,267.8,72.2,89.5
23,Canton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
241,Capitol Region Education Council,2010-11,Free,50,48,96,0,4,8.3,8.3,18.8,39.6,25,252.1,64.6,83.3
241,Capitol Region Education Council,2010-11,Other,82,79,96.3,0,3.7,3.8,3.8,25.3,32.9,34.2,270.3,67.1,92.4
241,Capitol Region Education Council,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
24,Chaplin School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
24,Chaplin School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
25,Cheshire School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
25,Cheshire School District,2010-11,Other,331,321,97,0,3,1.9,4.4,19,34,40.8,274.7,74.8,93.8
25,Cheshire School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
26,Chester School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
26,Chester School District,2010-11,Other,38,38,100,0,0,0,0,13.2,39.5,47.4,288.6,86.8,100
26,Chester School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
27,Clinton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
27,Clinton School District,2010-11,Other,141,138,97.9,0,2.1,2.9,8.7,18.8,48.6,21,256.6,69.6,88.4
27,Clinton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
28,Colchester School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
28,Colchester School District,2010-11,Other,192,189,98.4,0,1.6,6.3,6.3,26.5,34.9,25.9,256.8,60.8,87.3
28,Colchester School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
29,Colebrook School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
30,Columbia School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
30,Columbia School District,2010-11,Other,51,50,98,0,2,2,8,12,40,38,268.6,78,90
30,Columbia School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
243,Cooperative Educational Services,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
243,Cooperative Educational Services,2010-11,Other,37,36,97.3,0,2.7,5.6,2.8,22.2,25,44.4,274.1,69.4,91.7
243,Cooperative Educational Services,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
31,Cornwall School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
31,Cornwall School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
32,Coventry School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
32,Coventry School District,2010-11,Other,123,122,99.2,0,0.8,2.5,6.6,16.4,39.3,35.2,271.1,74.6,91
32,Coventry School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
33,Cromwell School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
33,Cromwell School District,2010-11,Other,122,121,99.2,0,0.8,2.5,1.7,9.1,31.4,55.4,297.2,86.8,95.9
33,Cromwell School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
34,Danbury School District,2010-11,Free,320,292,91.3,0.3,8.4,5.1,12,28.4,36,18.5,247.6,54.5,82.9
34,Danbury School District,2010-11,Other,427,411,96.3,0.2,3.5,1.2,5.1,18.2,32.4,43.1,276.9,75.4,93.7
34,Danbury School District,2010-11,Reduced,91,85,93.4,0,6.6,8.2,8.2,34.1,32.9,16.5,246.7,49.4,83.5
35,Darien School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
35,Darien School District,2010-11,Other,362,355,98.1,0.3,1.7,1.7,2.3,12.7,34.4,49,284.5,83.4,96.1
35,Darien School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
36,Deep River School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
36,Deep River School District,2010-11,Other,44,42,95.5,0,4.5,0,2.4,21.4,40.5,35.7,276.6,76.2,97.6
36,Deep River School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
37,Derby School District,2010-11,Free,46,44,95.7,0,4.3,27.3,18.2,20.5,25,9.1,219.6,34.1,54.5
37,Derby School District,2010-11,Other,43,42,97.7,0,2.3,2.4,11.9,35.7,33.3,16.7,251.6,50,85.7
37,Derby School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
40,East Granby School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
40,East Granby School District,2010-11,Other,51,51,100,0,0,0,3.9,13.7,39.2,43.1,281.1,82.4,96.1
41,East Haddam School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
41,East Haddam School District,2010-11,Other,90,85,94.4,0,5.6,2.4,3.5,8.2,38.8,47.1,280.3,85.9,94.1
41,East Haddam School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
42,East Hampton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
42,East Hampton School District,2010-11,Other,132,125,94.7,0,5.3,2.4,5.6,21.6,36.8,33.6,266.8,70.4,92
42,East Hampton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
43,East Hartford School District,2010-11,Free,310,290,93.5,0,6.5,26.2,12.8,27.6,23.4,10,221,33.4,61
43,East Hartford School District,2010-11,Other,153,142,92.8,0.7,6.5,16.2,5.6,31.7,23.9,22.5,239.2,46.5,78.2
43,East Hartford School District,2010-11,Reduced,50,50,100,0,0,20,10,30,26,14,229.5,40,70
44,East Haven School District,2010-11,Free,112,103,92,0,8,27.2,26.2,22.3,21.4,2.9,210.8,24.3,46.6
44,East Haven School District,2010-11,Other,144,139,96.5,0,3.5,12.9,12.2,30.2,34.5,10.1,234.3,44.6,74.8
44,East Haven School District,2010-11,Reduced,28,27,96.4,0,3.6,18.5,25.9,29.6,18.5,7.4,216.9,25.9,55.6
45,East Lyme School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
45,East Lyme School District,2010-11,Other,189,179,94.7,0,5.3,2.2,1.7,15.6,36.3,44.1,281.2,80.4,96.1
45,East Lyme School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
47,East Windsor School District,2010-11,Free,29,27,93.1,0,6.9,14.8,22.2,40.7,11.1,11.1,225.8,22.2,63
47,East Windsor School District,2010-11,Other,62,61,98.4,0,1.6,8.2,8.2,11.5,42.6,29.5,260.6,72.1,83.6
47,East Windsor School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
39,Eastford School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
39,Eastford School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
46,Easton School District,2010-11,Other,115,110,95.7,0,4.3,0.9,0,12.7,42.7,43.6,285,86.4,99.1
48,Ellington School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
48,Ellington School District,2010-11,Other,194,186,95.9,0,4.1,0.5,4.8,18.3,39.8,36.6,271.4,76.3,94.6
48,Ellington School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
289,Elm City College Preparatory School,2010-11,Free,22,21,95.5,0,4.5,9.5,14.3,23.8,28.6,23.8,245.1,52.4,76.2
289,Elm City College Preparatory School,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
289,Elm City College Preparatory School,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
49,Enfield School District,2010-11,Free,121,116,95.9,0,4.1,7.8,5.2,30.2,33.6,23.3,251.9,56.9,87.1
49,Enfield School District,2010-11,Other,287,283,98.6,0,1.4,1.8,2.1,14.1,35,47,283.5,82,96.1
49,Enfield School District,2010-11,Reduced,26,26,100,0,0,0,0,15.4,50,34.6,275.5,84.6,100
50,Essex School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
50,Essex School District,2010-11,Other,62,61,98.4,0,1.6,1.6,6.6,13.1,29.5,49.2,281.1,78.7,91.8
50,Essex School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
51,Fairfield School District,2010-11,Free,43,42,97.7,0,2.3,11.9,9.5,28.6,28.6,21.4,242.1,50,78.6
51,Fairfield School District,2010-11,Other,698,685,98.1,0,1.9,2.2,3.4,10.1,35.2,49.2,285.3,84.4,94.5
51,Fairfield School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
52,Farmington School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
52,Farmington School District,2010-11,Other,271,267,98.5,0,1.5,0.4,2.6,11.2,30.3,55.4,291.2,85.8,97
52,Farmington School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
53,Franklin School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
53,Franklin School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
53,Franklin School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
54,Glastonbury School District,2010-11,Free,30,29,96.7,0,3.3,6.9,20.7,17.2,34.5,20.7,245.9,55.2,72.4
54,Glastonbury School District,2010-11,Other,482,470,97.5,0,2.5,1.5,3,13,35.5,47,282.7,82.6,95.5
54,Glastonbury School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
56,Granby School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
56,Granby School District,2010-11,Other,152,149,98,0,2,1.3,4.7,20.1,34.9,38.9,273.3,73.8,94
