District ID,District Name,School Year,FRL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
279,Amistad Academy District,2010-11,Free,28,28,100,0,0,7.1,7.1,21.4,32.1,32.1,256.3,64.3,85.7
279,Amistad Academy District,2010-11,Other,21,21,100,0,0,0,0,9.5,38.1,52.4,282.9,90.5,100
279,Amistad Academy District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,Free,69,67,97.1,1.4,1.4,9,22.4,22.4,41.8,4.5,229.8,46.3,68.7
2,Ansonia School District,2010-11,Other,91,88,96.7,0,3.3,11.4,14.8,23.9,44.3,5.7,232.6,50,73.9
2,Ansonia School District,2010-11,Reduced,27,27,100,0,0,11.1,18.5,37,22.2,11.1,226.9,33.3,70.4
244,Area Cooperative Educational Services,2010-11,Free,142,140,98.6,0.7,0.7,15,21.4,25.7,29.3,8.6,225.2,37.9,63.6
244,Area Cooperative Educational Services,2010-11,Other,122,120,98.4,0,1.6,7.5,17.5,17.5,40,17.5,241.6,57.5,75
244,Area Cooperative Educational Services,2010-11,Reduced,39,38,97.4,0,2.6,5.3,10.5,34.2,36.8,13.2,238.5,50,84.2
3,Ashford School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,Other,49,49,100,0,0,10.2,18.4,6.1,38.8,26.5,251.3,65.3,71.4
3,Ashford School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,Other,283,279,98.6,0,1.4,1.1,1.1,4.7,46.6,46.6,286.6,93.2,97.8
4,Avon School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,Other,225,223,99.1,0,0.9,2.2,5.4,13.9,55.2,23.3,260.2,78.5,92.4
7,Berlin School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
9,Bethel School District,2010-11,Free,29,27,93.1,0,6.9,0,14.8,22.2,37,25.9,261.1,63,85.2
9,Bethel School District,2010-11,Other,178,178,100,0,0,2.2,5.1,8.4,43.3,41,275.7,84.3,92.7
9,Bethel School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
11,Bloomfield School District,2010-11,Free,62,61,98.4,1.6,0,9.8,16.4,24.6,49.2,0,229.1,49.2,73.8
11,Bloomfield School District,2010-11,Other,63,62,98.4,0,1.6,8.1,11.3,25.8,46.8,8.1,235.6,54.8,80.6
11,Bloomfield School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,Other,57,56,98.2,0,1.8,5.4,8.9,12.5,48.2,25,259.1,73.2,85.7
12,Bolton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,Other,22,22,100,0,0,0,0,13.6,54.5,31.8,264.2,86.4,100
13,Bozrah School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
14,Branford School District,2010-11,Free,39,37,94.9,0,5.1,16.2,13.5,18.9,45.9,5.4,229.9,51.4,70.3
14,Branford School District,2010-11,Other,222,211,95,2.3,2.7,3.3,4.7,14.2,45.5,32.2,265.8,77.7,91.9
14,Branford School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
285,Bridgeport Achievement First,2010-11,Free,32,32,100,0,0,0,18.8,40.6,37.5,3.1,237.7,40.6,81.3
285,Bridgeport Achievement First,2010-11,Other,27,27,100,0,0,0,18.5,18.5,33.3,29.6,253.4,63,81.5
285,Bridgeport Achievement First,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
15,Bridgeport School District,2010-11,Free,1329,1265,95.2,0.8,4.1,21.5,23.8,25.9,26.2,2.6,215.6,28.8,54.7
15,Bridgeport School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
15,Bridgeport School District,2010-11,Reduced,32,30,93.8,0,6.3,10,10,33.3,36.7,10,237.4,46.7,80
17,Bristol School District,2010-11,Free,223,214,96,0.9,3.1,15.4,15.9,25.2,39.3,4.2,226.9,43.5,68.7
17,Bristol School District,2010-11,Other,383,379,99,0.3,0.8,4.2,6.9,17.9,47,24,255.2,71,88.9
17,Bristol School District,2010-11,Reduced,67,66,98.5,0,1.5,6.1,16.7,28.8,42.4,6.1,234,48.5,77.3
18,Brookfield School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
18,Brookfield School District,2010-11,Other,221,221,100,0,0,1.8,0.9,5.9,32.1,59.3,291.3,91.4,97.3
18,Brookfield School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,Other,79,79,100,0,0,3.8,5.1,17.7,62,11.4,250.6,73.4,91.1
19,Brooklyn School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,Other,47,47,100,0,0,0,4.3,8.5,51.1,36.2,277.8,87.2,95.7
22,Canterbury School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
