District ID,District Name,School Year,FRL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
19,Brooklyn School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,Other,47,47,100,0,0,2.1,4.3,17,48.9,27.7,262.1,76.6,93.6
22,Canterbury School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
23,Canton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
23,Canton School District,2010-11,Other,127,123,96.9,1.6,1.6,0.8,4.1,14.6,47.2,33.3,265.7,80.5,95.1
241,Capitol Region Education Council,2010-11,Free,44,44,100,0,0,2.3,13.6,25,45.5,13.6,246.9,59.1,84.1
241,Capitol Region Education Council,2010-11,Other,84,84,100,0,0,2.4,3.6,20.2,38.1,35.7,263,73.8,94
241,Capitol Region Education Council,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
24,Chaplin School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
24,Chaplin School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
25,Cheshire School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
25,Cheshire School District,2010-11,Other,333,331,99.4,0,0.6,0.9,2.7,11.2,46.5,38.7,272.8,85.2,96.4
25,Cheshire School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
26,Chester School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
26,Chester School District,2010-11,Other,36,36,100,0,0,0,0,8.3,63.9,27.8,268,91.7,100
26,Chester School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
27,Clinton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
27,Clinton School District,2010-11,Other,126,126,100,0,0,0.8,6.3,19.8,47.6,25.4,257.8,73,92.9
27,Clinton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
28,Colchester School District,2010-11,Free,25,25,100,0,0,0,20,36,40,4,238.1,44,80
28,Colchester School District,2010-11,Other,197,196,99.5,0,0.5,1.5,3.6,18.4,39.3,37.2,267.4,76.5,94.9
28,Colchester School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
29,Colebrook School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
29,Colebrook School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
29,Colebrook School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
30,Columbia School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
30,Columbia School District,2010-11,Other,52,50,96.2,0,3.8,2,4,16,30,48,273.6,78,94
30,Columbia School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
243,Cooperative Educational Services,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
243,Cooperative Educational Services,2010-11,Other,30,30,100,0,0,0,10,23.3,56.7,10,249.3,66.7,90
243,Cooperative Educational Services,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
31,Cornwall School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
31,Cornwall School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
32,Coventry School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
32,Coventry School District,2010-11,Other,100,99,99,0,1,3,5.1,15.2,46.5,30.3,259.8,76.8,91.9
32,Coventry School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
33,Cromwell School District,2010-11,Free,31,31,100,0,0,0,16.1,19.4,48.4,16.1,248.4,64.5,83.9
33,Cromwell School District,2010-11,Other,128,126,98.4,0,1.6,1.6,7.9,16.7,34.9,38.9,269.6,73.8,90.5
33,Cromwell School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
34,Danbury School District,2010-11,Free,332,312,94,0,6,9,16.7,30.8,38.5,5.1,230,43.6,74.4
34,Danbury School District,2010-11,Other,379,368,97.1,0.5,2.4,3.3,6.5,17.7,50.5,22,255.4,72.6,90.2
34,Danbury School District,2010-11,Reduced,91,88,96.7,0,3.3,10.2,8,26.1,42,13.6,240.7,55.7,81.8
35,Darien School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
35,Darien School District,2010-11,Other,367,364,99.2,0,0.8,0.5,3.3,9.6,39.6,47,278,86.5,96.2
35,Darien School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
36,Deep River School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
36,Deep River School District,2010-11,Other,44,43,97.7,0,2.3,2.3,7,20.9,48.8,20.9,255.4,69.8,90.7
36,Deep River School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
37,Derby School District,2010-11,Free,48,48,100,0,0,12.5,18.8,27.1,31.2,10.4,230.7,41.7,68.8
37,Derby School District,2010-11,Other,54,52,96.3,1.9,1.9,1.9,3.8,7.7,53.8,32.7,264.9,86.5,94.2
37,Derby School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
40,East Granby School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
40,East Granby School District,2010-11,Other,75,74,98.7,0,1.3,0,5.4,18.9,41.9,33.8,272.5,75.7,94.6
41,East Haddam School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
41,East Haddam School District,2010-11,Other,83,82,98.8,0,1.2,4.9,6.1,4.9,34.1,50,280.4,84.1,89
41,East Haddam School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
42,East Hampton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
42,East Hampton School District,2010-11,Other,144,143,99.3,0,0.7,1.4,9.8,23.1,39.9,25.9,258.1,65.7,88.8
42,East Hampton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
43,East Hartford School District,2010-11,Free,317,300,94.6,0,5.4,11.3,16,33.7,31.7,7.3,229,39,72.7
43,East Hartford School District,2010-11,Other,178,173,97.2,0,2.8,4,9.8,26,47.4,12.7,243.8,60.1,86.1
43,East Hartford School District,2010-11,Reduced,59,57,96.6,0,3.4,7,10.5,26.3,43.9,12.3,237.6,56.1,82.5
44,East Haven School District,2010-11,Free,83,79,95.2,0,4.8,17.7,17.7,32.9,27.8,3.8,220.4,31.6,64.6
44,East Haven School District,2010-11,Other,127,125,98.4,0,1.6,2.4,12.8,27.2,43.2,14.4,244,57.6,84.8
44,East Haven School District,2010-11,Reduced,36,35,97.2,0,2.8,11.4,17.1,31.4,37.1,2.9,223.8,40,71.4
45,East Lyme School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
45,East Lyme School District,2010-11,Other,188,188,100,0,0,1.6,3.2,16,42.6,36.7,268.5,79.3,95.2
45,East Lyme School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
47,East Windsor School District,2010-11,Free,31,31,100,0,0,9.7,29,29,29,3.2,225.3,32.3,61.3
47,East Windsor School District,2010-11,Other,61,61,100,0,0,1.6,4.9,34.4,39.3,19.7,254,59,93.4
47,East Windsor School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
39,Eastford School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
39,Eastford School District,2010-11,Other,20,20,100,0,0,0,10,10,50,30,259.1,80,90
46,Easton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
46,Easton School District,2010-11,Other,122,119,97.5,0.8,1.6,3.4,7.6,10.1,28.6,50.4,277.9,79,89.1
46,Easton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
48,Ellington School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
48,Ellington School District,2010-11,Other,196,196,100,0,0,2.6,5.6,8.7,40.3,42.9,273.9,83.2,91.8
48,Ellington School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
289,Elm City College Preparatory School,2010-11,Free,32,31,96.9,0,3.1,0,9.7,19.4,51.6,19.4,254.3,71,90.3
289,Elm City College Preparatory School,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
289,Elm City College Preparatory School,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
49,Enfield School District,2010-11,Free,110,103,93.6,0,6.4,7.8,12.6,31.1,40.8,7.8,234.1,48.5,79.6
49,Enfield School District,2010-11,Other,271,263,97,0,3,2.3,7.2,27,46.8,16.7,247.9,63.5,90.5
49,Enfield School District,2010-11,Reduced,35,35,100,0,0,0,22.9,31.4,34.3,11.4,238.6,45.7,77.1
50,Essex School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
50,Essex School District,2010-11,Other,69,69,100,0,0,0,2.9,7.2,42,47.8,281.6,89.9,97.1
50,Essex School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
51,Fairfield School District,2010-11,Free,42,40,95.2,0,4.8,7.5,12.5,22.5,40,17.5,244.1,57.5,80
