District ID,District Name,School Year,FRL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
18,Brookfield School District,2010-11,Other,154,153,99.4,0,0.6,6.5,5.9,12.4,51,24.2,254.8,75.2,87.6
18,Brookfield School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,Free,21,20,95.2,0,4.8,25,0,40,30,5,225.3,35,75
19,Brooklyn School District,2010-11,Other,67,66,98.5,0,1.5,9.1,9.1,15.2,42.4,24.2,247.3,66.7,81.8
19,Brooklyn School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,Other,53,52,98.1,0,1.9,5.8,5.8,19.2,48.1,21.2,252.8,69.2,88.5
22,Canterbury School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
23,Canton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
23,Canton School District,2010-11,Other,135,133,98.5,0,1.5,10.5,5.3,11.3,48.9,24.1,253,72.9,84.2
23,Canton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
241,Capitol Region Education Council,2010-11,Free,50,48,96,0,4,8.3,8.3,18.8,56.2,8.3,242.9,64.6,83.3
241,Capitol Region Education Council,2010-11,Other,82,78,95.1,0,4.9,7.7,0,12.8,48.7,30.8,263.3,79.5,92.3
241,Capitol Region Education Council,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
24,Chaplin School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
24,Chaplin School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
25,Cheshire School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
25,Cheshire School District,2010-11,Other,331,322,97.3,0,2.7,4.7,7.5,10.6,42.9,34.5,262.6,77.3,87.9
25,Cheshire School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
26,Chester School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
26,Chester School District,2010-11,Other,38,38,100,0,0,0,2.6,10.5,55.3,31.6,269.8,86.8,97.4
26,Chester School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
27,Clinton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
27,Clinton School District,2010-11,Other,141,138,97.9,0,2.1,9.4,9.4,13.8,44.9,22.5,249.2,67.4,81.2
27,Clinton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
28,Colchester School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
28,Colchester School District,2010-11,Other,192,184,95.8,0,4.2,12.5,6,15.2,48.9,17.4,244,66.3,81.5
28,Colchester School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
29,Colebrook School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
30,Columbia School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
30,Columbia School District,2010-11,Other,51,50,98,0,2,18,10,4,50,18,240.1,68,72
30,Columbia School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
243,Cooperative Educational Services,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
243,Cooperative Educational Services,2010-11,Other,37,35,94.6,0,5.4,8.6,2.9,17.1,48.6,22.9,258.3,71.4,88.6
243,Cooperative Educational Services,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
31,Cornwall School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
31,Cornwall School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
32,Coventry School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
32,Coventry School District,2010-11,Other,123,122,99.2,0,0.8,8.2,7.4,14.8,48.4,21.3,250.2,69.7,84.4
32,Coventry School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
33,Cromwell School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
33,Cromwell School District,2010-11,Other,122,121,99.2,0,0.8,5,6.6,12.4,43,33.1,261.8,76,88.4
33,Cromwell School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
34,Danbury School District,2010-11,Free,320,288,90,0.6,9.4,27.8,15.6,21.5,30.6,4.5,219.7,35.1,56.6
34,Danbury School District,2010-11,Other,427,410,96,0,4,10.7,7.6,14.9,47.3,19.5,248.2,66.8,81.7
34,Danbury School District,2010-11,Reduced,91,82,90.1,0,9.9,15.9,20.7,20.7,37.8,4.9,225.8,42.7,63.4
35,Darien School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
