District ID,District Name,School Year,ELL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
37,Derby School District,2010-11,No,110,110,100,0,0,20,20.9,25.5,32.7,0.9,228,33.6,59.1
37,Derby School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
40,East Granby School District,2010-11,No,67,67,100,0,0,3,1.5,10.4,58.2,26.9,276.6,85.1,95.5
41,East Haddam School District,2010-11,No,135,131,97,0,3,6.1,11.5,15.3,59.5,7.6,255.1,67.2,82.4
42,East Hampton School District,2010-11,No,161,158,98.1,1.2,0.6,1.9,4.4,12,55.7,25.9,276.4,81.6,93.7
43,East Hartford School District,2010-11,No,465,458,98.5,0.2,1.3,36.5,18.8,15.9,25.1,3.7,220,28.8,44.8
43,East Hartford School District,2010-11,Yes,38,33,86.8,0,13.2,81.8,12.1,6.1,0,0,184.4,0,6.1
44,East Haven School District,2010-11,No,273,265,97.1,0.7,2.2,22.3,18.9,15.5,37.7,5.7,236,43.4,58.9
44,East Haven School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
45,East Lyme School District,2010-11,No,214,209,97.7,0,2.3,3.3,5.3,10,58.4,23,274.6,81.3,91.4
45,East Lyme School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
47,East Windsor School District,2010-11,No,96,95,99,0,1,15.8,7.4,12.6,44.2,20,259.3,64.2,76.8
39,Eastford School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
46,Easton School District,2010-11,No,136,131,96.3,1.5,2.2,3.1,1.5,4.6,66.4,24.4,281.4,90.8,95.4
48,Ellington School District,2010-11,No,215,212,98.6,0,1.4,2.8,4.7,7.1,55.7,29.7,280.4,85.4,92.5
289,Elm City College Preparatory School,2010-11,No,44,44,100,0,0,13.6,6.8,20.5,59.1,0,243.9,59.1,79.5
289,Elm City College Preparatory School,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
49,Enfield School District,2010-11,No,406,397,97.8,0.7,1.5,8.8,13.1,16.6,55.2,6.3,251.5,61.5,78.1
51,Fairfield School District,2010-11,No,757,748,98.8,0.1,1.1,3.3,2.9,9.8,59.2,24.7,276.7,84,93.7
51,Fairfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
52,Farmington School District,2010-11,No,343,341,99.4,0,0.6,2.1,2.3,5.3,55.7,34.6,287.6,90.3,95.6
52,Farmington School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
53,Franklin School District,2010-11,No,21,21,100,0,0,4.8,9.5,19,42.9,23.8,267.1,66.7,85.7
54,Glastonbury School District,2010-11,No,554,549,99.1,0.4,0.5,4.2,2.9,5.5,59.2,28.2,281.6,87.4,92.9
54,Glastonbury School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
56,Granby School District,2010-11,No,159,159,100,0,0,0.6,3.8,7.5,54.1,34,284.1,88.1,95.6
56,Granby School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
57,Greenwich School District,2010-11,No,606,602,99.3,0.3,0.3,5.8,6.8,9.8,54.2,23.4,271.5,77.6,87.4
57,Greenwich School District,2010-11,Yes,31,22,71,0,29,36.4,18.2,9.1,31.8,4.5,225.5,36.4,45.5
58,Griswold School District,2010-11,No,132,131,99.2,0,0.8,16,5.3,14.5,61.1,3.1,249.4,64.1,78.6
59,Groton School District,2010-11,No,313,309,98.7,0.6,0.6,9.1,6.1,14.2,55,15.5,261.7,70.6,84.8
59,Groton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
60,Guilford School District,2010-11,No,300,295,98.3,0,1.7,1,2,10.5,55.9,30.5,281,86.4,96.9
62,Hamden School District,2010-11,No,444,433,97.5,0.2,2.3,25.6,12,13.9,39,9.5,238,48.5,62.4
62,Hamden School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
64,Hartford School District,2010-11,No,1374,1317,95.9,2.3,1.9,36.5,16.5,15.9,26.6,4.6,221.2,31.1,47
64,Hartford School District,2010-11,Yes,283,240,84.8,4.6,10.6,82.1,11.7,3.8,2.5,0,181.7,2.5,6.3
65,Hartland School District,2010-11,No,20,20,100,0,0,5,5,0,65,25,279.9,90,90
286,Highville Charter School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
264,Integrated Day Charter School District,2010-11,No,30,30,100,0,0,6.7,10,20,60,3.3,250.7,63.3,83.3
264,Integrated Day Charter School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
265,Interdistrict School for Arts and Comm District,2010-11,No,59,59,100,0,0,11.9,5.1,13.6,61,8.5,253.7,69.5,83.1
261,Jumoke Academy District,2010-11,No,39,39,100,0,0,7.7,15.4,12.8,59,5.1,253.2,64.1,76.9
68,Kent School District,2010-11,No,28,27,96.4,0,3.6,0,7.4,11.1,51.9,29.6,273.3,81.5,92.6
69,Killingly School District,2010-11,No,190,186,97.9,0.5,1.6,13.4,11.3,18.3,53.8,3.2,244.7,57,75.3
69,Killingly School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
245,Learn,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
245,Learn,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
71,Lebanon School District,2010-11,No,103,99,96.1,1,2.9,2,5.1,8.1,64.6,20.2,273.4,84.8,92.9
72,Ledyard School District,2010-11,No,224,214,95.5,1.8,2.7,8.9,7.5,11.2,49.5,22.9,266.8,72.4,83.6
72,Ledyard School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
73,Lisbon School District,2010-11,No,68,66,97.1,0,2.9,3,10.6,13.6,65.2,7.6,256.5,72.7,86.4
74,Litchfield School District,2010-11,No,93,93,100,0,0,6.5,3.2,8.6,52.7,29,276.4,81.7,90.3
74,Litchfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
76,Madison School District,2010-11,No,311,304,97.7,1.3,1,3.3,3.9,7.6,59.9,25.3,278.7,85.2,92.8
77,Manchester School District,2010-11,No,454,433,95.4,2,2.6,23.6,15,16.6,39,5.8,235.4,44.8,61.4
77,Manchester School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
78,Mansfield School District,2010-11,No,148,145,98,1.4,0.7,4.1,2.1,4.8,48.3,40.7,290.6,89,93.8
78,Mansfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
80,Meriden School District,2010-11,No,531,503,94.7,2.8,2.4,26.2,18.9,16.5,36.8,1.6,226.8,38.4,54.9
80,Meriden School District,2010-11,Yes,63,53,84.1,3.2,12.7,79.2,13.2,5.7,1.9,0,184.9,1.9,7.5
83,Middletown School District,2010-11,No,359,352,98.1,0.6,1.4,17.3,13.9,16.5,45.7,6.5,243.3,52.3,68.8
83,Middletown School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
84,Milford School District,2010-11,No,577,566,98.1,0.5,1.4,4.4,7.8,12.5,59.5,15.7,266.8,75.3,87.8
84,Milford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
85,Monroe School District,2010-11,No,331,328,99.1,0.6,0.3,3,5.5,7.6,57,26.8,280.4,83.8,91.5
85,Monroe School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
86,Montville School District,2010-11,No,219,212,96.8,0,3.2,10.8,9,9.4,54.7,16,261.5,70.8,80.2
86,Montville School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
88,Naugatuck School District,2010-11,No,384,380,99,0,1,19.2,11.8,19.7,44.2,5,239.5,49.2,68.9
88,Naugatuck School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
280,"New Beginnings Inc., Family Academy District",2010-11,No,23,23,100,0,0,17.4,13,30.4,39.1,0,232.2,39.1,69.6
89,New Britain School District,2010-11,No,581,569,97.9,0.3,1.7,46.4,16.7,14.6,20.9,1.4,210.7,22.3,36.9
89,New Britain School District,2010-11,Yes,137,122,89.1,1.5,9.5,81.1,12.3,4.1,2.5,0,184.9,2.5,6.6
90,New Canaan School District,2010-11,No,293,290,99,0,1,1.4,1.4,4.1,49,44.1,295.7,93.1,97.2
90,New Canaan School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
91,New Fairfield School District,2010-11,No,256,255,99.6,0,0.4,5.5,7.1,11,57.3,19.2,269.3,76.5,87.5
91,New Fairfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
93,New Haven School District,2010-11,No,1274,1242,97.5,0.9,1.6,28.9,15.1,19,32.2,4.8,230.2,37,56
93,New Haven School District,2010-11,Yes,167,138,82.6,1.8,15.6,61.6,18.1,10.9,9.4,0,196.4,9.4,20.3
95,New London School District,2010-11,No,159,152,95.6,1.9,2.5,33.6,21.1,17.8,27,0.7,218,27.6,45.4
95,New London School District,2010-11,Yes,31,26,83.9,3.2,12.9,73.1,11.5,7.7,7.7,0,183.1,7.7,15.4
96,New Milford School District,2010-11,No,386,379,98.2,0.3,1.6,5.5,9.8,13.7,57.8,13.2,260.6,71,84.7
96,New Milford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
94,Newington School District,2010-11,No,349,340,97.4,1.4,1.1,8.5,5.6,12.6,59.4,13.8,261.5,73.2,85.9
94,Newington School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
97,Newtown School District,2010-11,No,461,460,99.8,0,0.2,1.5,3,6.1,61.5,27.8,282.3,89.3,95.4
99,North Branford School District,2010-11,No,222,217,97.7,0,2.3,3.2,6.9,12.9,61.3,15.7,266.1,77,89.9
99,North Branford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
100,North Canaan School District,2010-11,No,29,29,100,0,0,3.4,13.8,13.8,58.6,10.3,258.5,69,82.8
101,North Haven School District,2010-11,No,296,290,98,0,2,9,6.2,11.7,60.7,12.4,262.9,73.1,84.8
102,North Stonington School District,2010-11,No,60,59,98.3,0,1.7,5.1,5.1,11.9,52.5,25.4,271.5,78,89.8
102,North Stonington School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
103,Norwalk School District,2010-11,No,771,751,97.4,1,1.6,13.4,11.5,14.9,49.1,11.1,250.9,60.2,75.1
103,Norwalk School District,2010-11,Yes,61,57,93.4,0,6.6,61.4,19.3,10.5,8.8,0,197.2,8.8,19.3
104,Norwich School District,2010-11,No,336,329,97.9,0.3,1.8,17,16.4,18.2,41,7.3,240.8,48.3,66.6
104,Norwich School District,2010-11,Yes,37,32,86.5,0,13.5,65.6,21.9,9.4,3.1,0,189.2,3.1,12.5
263,Odyssey Community School District,2010-11,No,31,31,100,0,0,12.9,19.4,9.7,45.2,12.9,251.6,58.1,67.7
106,Old Saybrook School District,2010-11,No,122,121,99.2,0,0.8,7.4,8.3,12.4,57.9,14,262.1,71.9,84.3
108,Oxford School District,2010-11,No,141,140,99.3,0.7,0,2.9,5.7,10,55.7,25.7,275.1,81.4,91.4
108,Oxford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
283,Park City Prep Charter School,2010-11,No,68,67,98.5,1.5,0,22.4,17.9,16.4,40.3,3,233.4,43.3,59.7
109,Plainfield School District,2010-11,No,189,184,97.4,1.1,1.6,7.6,8.7,21.2,53.3,9.2,253,62.5,83.7
109,Plainfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
110,Plainville School District,2010-11,No,188,187,99.5,0,0.5,7,4.3,10.7,54,24.1,274,78.1,88.8
110,Plainville School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
111,Plymouth School District,2010-11,No,156,152,97.4,0.6,1.9,10.5,6.6,18.4,55.9,8.6,256.6,64.5,82.9
111,Plymouth School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
112,Pomfret School District,2010-11,No,58,56,96.6,0,3.4,7.1,5.4,8.9,71.4,7.1,263.9,78.6,87.5
113,Portland School District,2010-11,No,106,103,97.2,0,2.8,5.8,3.9,13.6,60.2,16.5,267.6,76.7,90.3
114,Preston School District,2010-11,No,48,47,97.9,0,2.1,2.1,6.4,21.3,61.7,8.5,263.1,70.2,91.5
114,Preston School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
116,Putnam School District,2010-11,No,85,82,96.5,1.2,2.4,19.5,15.9,13.4,48.8,2.4,240.4,51.2,64.6
116,Putnam School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
117,Redding School District,2010-11,No,149,148,99.3,0.7,0,1.4,3.4,8.1,60.1,27,282.7,87.2,95.3
204,Regional School District 04,2010-11,No,194,194,100,0,0,4.6,4.6,11.3,63.4,16,269.5,79.4,90.7
204,Regional School District 04,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
205,Regional School District 05,2010-11,No,429,424,98.8,0,1.2,2.4,3.1,6.1,63.2,25.2,279.6,88.4,94.6
205,Regional School District 05,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
206,Regional School District 06,2010-11,No,74,74,100,0,0,1.4,2.7,9.5,59.5,27,276,86.5,95.9
206,Regional School District 06,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
207,Regional School District 07,2010-11,No,150,150,100,0,0,4,10,8.7,58,19.3,269.4,77.3,86
208,Regional School District 08,2010-11,No,314,310,98.7,0.3,1,4.8,4.8,12.3,60.3,17.7,268.6,78.1,90.3
210,Regional School District 10,2010-11,No,215,213,99.1,0,0.9,0.9,8,10.8,63.4,16.9,268.7,80.3,91.1
211,Regional School District 11,2010-11,No,67,67,100,0,0,13.4,6,17.9,58.2,4.5,250.1,62.7,80.6
212,Regional School District 12,2010-11,No,79,79,100,0,0,5.1,3.8,11.4,68.4,11.4,265.5,79.7,91.1
213,Regional School District 13,2010-11,No,176,175,99.4,0,0.6,2.9,4,9.1,58.9,25.1,277,84,93.1
214,Regional School District 14,2010-11,No,150,149,99.3,0,0.7,3.4,3.4,8.1,65.1,20.1,272.1,85.2,93.3
214,Regional School District 14,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
215,Regional School District 15,2010-11,No,349,337,96.6,1.7,1.7,2.4,4.5,6.8,63.2,23.1,276.4,86.4,93.2
215,Regional School District 15,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
216,Regional School District 16,2010-11,No,193,191,99,0,1,4.7,6.3,10.5,63.4,15.2,265.6,78.5,89
217,Regional School District 17,2010-11,No,212,206,97.2,0,2.8,2.4,3.4,7.3,58.3,28.6,281.3,86.9,94.2
218,Regional School District 18,2010-11,No,94,94,100,0,0,6.4,3.2,7.4,46.8,36.2,281.1,83,90.4
118,Ridgefield School District,2010-11,No,443,434,98,1.1,0.9,4.6,3.7,6.2,57.1,28.3,279.5,85.5,91.7
118,Ridgefield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
119,Rocky Hill School District,2010-11,No,212,210,99.1,0,0.9,5.2,6.2,10,56.7,21.9,271.8,78.6,88.6
119,Rocky Hill School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
121,Salem School District,2010-11,No,62,62,100,0,0,1.6,4.8,8.1,72.6,12.9,275.1,85.5,93.5
122,Salisbury School District,2010-11,No,30,30,100,0,0,3.3,0,10,56.7,30,282.1,86.7,96.7
124,Seymour School District,2010-11,No,188,185,98.4,0,1.6,12.4,11.4,20,51.4,4.9,246,56.2,76.2
125,Sharon School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
126,Shelton School District,2010-11,No,435,430,98.9,0.5,0.7,6.3,9.5,17.2,57.9,9.1,256.6,67,84.2
126,Shelton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
127,Sherman School District,2010-11,No,58,58,100,0,0,8.6,10.3,8.6,56.9,15.5,260.7,72.4,81
270,Side By Side Community School District,2010-11,No,20,20,100,0,0,30,15,30,25,0,220.9,25,55
128,Simsbury School District,2010-11,No,401,398,99.3,0,0.7,3.8,3.5,5.3,47.7,39.7,288.3,87.4,92.7
128,Simsbury School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
129,Somers School District,2010-11,No,133,130,97.7,0,2.3,3.1,6.2,5.4,60,25.4,278.9,85.4,90.8
129,Somers School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
132,South Windsor School District,2010-11,No,385,377,97.9,0,2.1,4,4.8,10.6,53.6,27.1,277.7,80.6,91.2
132,South Windsor School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
131,Southington School District,2010-11,No,532,523,98.3,0,1.7,6.3,6.9,12.6,57.7,16.4,265,74.2,86.8
131,Southington School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
133,Sprague School District,2010-11,No,27,27,100,0,0,3.7,14.8,3.7,55.6,22.2,271,77.8,81.5
134,Stafford School District,2010-11,No,114,113,99.1,0,0.9,4.4,4.4,9.7,53.1,28.3,277.4,81.4,91.2
135,Stamford School District,2010-11,No,933,917,98.3,0.4,1.3,15.4,10.7,18.1,48.3,7.5,246,55.8,73.9
135,Stamford School District,2010-11,Yes,117,99,84.6,0.9,14.5,64.6,18.2,11.1,6.1,0,196.6,6.1,17.2
136,Sterling School District,2010-11,No,51,50,98,0,2,10,10,12,62,6,251,68,80
137,Stonington School District,2010-11,No,208,205,98.6,0,1.4,6.3,5.9,8.8,66.8,12.2,264.1,79,87.8
138,Stratford School District,2010-11,No,559,554,99.1,0,0.9,14.3,12.8,19.7,43.5,9.7,246.9,53.2,72.9
138,Stratford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
139,Suffield School District,2010-11,No,207,207,100,0,0,4.8,4.3,5.8,66.7,18.4,272.1,85,90.8
269,The Bridge Academy District,2010-11,No,49,49,100,0,0,40.8,32.7,10.2,16.3,0,207.7,16.3,26.5
269,The Bridge Academy District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
140,Thomaston School District,2010-11,No,94,94,100,0,0,7.4,9.6,5.3,63.8,13.8,263.4,77.7,83
141,Thompson School District,2010-11,No,114,114,100,0,0,11.4,11.4,10.5,61.4,5.3,250.5,66.7,77.2
142,Tolland School District,2010-11,No,248,246,99.2,0.4,0.4,2,5.3,6.9,64.2,21.5,277.3,85.8,92.7
142,Tolland School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
143,Torrington School District,2010-11,No,368,354,96.2,0.5,3.3,15.3,13,16.9,47.5,7.3,244.9,54.8,71.8
143,Torrington School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
278,Trailblazers Academy District,2010-11,No,56,54,96.4,0,3.6,51.9,22.2,7.4,16.7,1.9,205.8,18.5,25.9
