District ID,District Name,School Year,Special Education Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
279,Amistad Academy District,2010-11,N,69,69,100,0,0,0,11.6,31.9,39.1,17.4,247.5,56.5,88.4
279,Amistad Academy District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
1,Andover School District,2010-11,N,33,33,100,0,0,0,0,6.1,36.4,57.6,280.4,93.9,100
1,Andover School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,N,187,187,100,0,0,0.5,2.1,25.7,50.8,20.9,257.5,71.7,97.3
2,Ansonia School District,2010-11,Y,25,20,80,0,20,50,30,10,10,0,189.3,10,20
244,Area Cooperative Educational Services,2010-11,N,67,67,100,0,0,1.5,6,17.9,52.2,22.4,255.6,74.6,92.5
244,Area Cooperative Educational Services,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,N,45,45,100,0,0,8.9,15.6,11.1,44.4,20,248.1,64.4,75.6
3,Ashford School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,N,249,248,99.6,0,0.4,0,0.8,2.4,41.9,54.8,286.1,96.8,99.2
4,Avon School District,2010-11,Y,33,31,93.9,0,6.1,6.5,16.1,32.3,38.7,6.5,233,45.2,77.4
5,Barkhamsted School District,2010-11,N,50,50,100,0,0,0,2,4,46,48,283,94,98
5,Barkhamsted School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,N,218,218,100,0,0,0.5,0.9,13.3,51.8,33.5,267.1,85.3,98.6
7,Berlin School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
8,Bethany School District,2010-11,N,71,71,100,0,0,0,1.4,8.5,62,28.2,268.5,90.1,98.6
8,Bethany School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
9,Bethel School District,2010-11,N,209,208,99.5,0,0.5,0,1.4,14.4,44.7,39.4,272.1,84.1,98.6
9,Bethel School District,2010-11,Y,28,23,82.1,0,17.9,4.3,21.7,39.1,26.1,8.7,229.8,34.8,73.9
11,Bloomfield School District,2010-11,N,130,129,99.2,0,0.8,0,10.1,34.1,47.3,8.5,242.3,55.8,89.9
11,Bloomfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,N,54,54,100,0,0,0,5.6,16.7,38.9,38.9,273.3,77.8,94.4
12,Bolton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,N,20,20,100,0,0,0,5,5,35,55,287.5,90,95
13,Bozrah School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
14,Branford School District,2010-11,N,198,195,98.5,0,1.5,0.5,4.1,24.1,51.3,20,256.2,71.3,95.4
14,Branford School District,2010-11,Y,43,37,86,2.3,11.6,16.2,24.3,32.4,24.3,2.7,215.5,27,59.5
15,Bridgeport School District,2010-11,N,1408,1368,97.2,0.4,2.5,9.2,21.6,32.3,31.2,5.6,226.3,36.8,69.2
15,Bridgeport School District,2010-11,Y,214,165,77.1,2.3,20.6,66.7,19.4,10.3,3.6,0,175.7,3.6,13.9
17,Bristol School District,2010-11,N,517,513,99.2,0,0.8,1.4,9.4,23.4,51.7,14.2,248.3,65.9,89.3
17,Bristol School District,2010-11,Y,113,105,92.9,0,7.1,42.9,25.7,21.9,8.6,1,195,9.5,31.4
18,Brookfield School District,2010-11,N,191,190,99.5,0,0.5,0,3.7,10,45.3,41.1,272.7,86.3,96.3
18,Brookfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,N,90,90,100,0,0,3.3,3.3,14.4,40,38.9,268.8,78.9,93.3
19,Brooklyn School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,N,53,53,100,0,0,0,7.5,11.3,52.8,28.3,264.8,81.1,92.5
