District ID,District Name,School Year,Special Education Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
27,Clinton School District,2010-11,N,154,154,100,0,0,2.6,9.7,19.5,46.1,22.1,257,68.2,87.7
27,Clinton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
28,Colchester School District,2010-11,N,193,193,100,0,0,3.6,6.7,28,34.7,26.9,259.5,61.7,89.6
28,Colchester School District,2010-11,Y,26,22,84.6,0,15.4,36.4,18.2,13.6,22.7,9.1,208.5,31.8,45.5
29,Colebrook School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
29,Colebrook School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
30,Columbia School District,2010-11,N,54,54,100,0,0,0,9.3,14.8,38.9,37,270.5,75.9,90.7
30,Columbia School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
243,Cooperative Educational Services,2010-11,N,42,42,100,0,0,4.8,9.5,19,21.4,45.2,271.6,66.7,85.7
243,Cooperative Educational Services,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
31,Cornwall School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
31,Cornwall School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
32,Coventry School District,2010-11,N,137,137,100,0,0,2.2,5.8,19,39.4,33.6,269.6,73,92
32,Coventry School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
33,Cromwell School District,2010-11,N,130,129,99.2,0,0.8,0.8,2.3,9.3,34.9,52.7,297,87.6,96.9
33,Cromwell School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
34,Danbury School District,2010-11,N,756,743,98.3,0.3,1.5,3.2,7.3,22.7,34.2,32.6,264.9,66.8,89.5
34,Danbury School District,2010-11,Y,82,45,54.9,0,45.1,6.7,20,40,26.7,6.7,228.7,33.3,73.3
35,Darien School District,2010-11,N,326,324,99.4,0.3,0.3,0.3,1.9,10.5,34.6,52.8,289.2,87.3,97.8
35,Darien School District,2010-11,Y,41,36,87.8,0,12.2,13.9,11.1,36.1,27.8,11.1,235.5,38.9,75
36,Deep River School District,2010-11,N,47,47,100,0,0,0,4.3,21.3,36.2,38.3,276.4,74.5,95.7
36,Deep River School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
37,Derby School District,2010-11,N,85,85,100,0,0,14.1,11.8,29.4,31.8,12.9,238.7,44.7,74.1
37,Derby School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
40,East Granby School District,2010-11,N,52,52,100,0,0,0,5.8,13.5,38.5,42.3,279.9,80.8,94.2
40,East Granby School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
