District ID,District Name,School Year,Total PreK Students with Disabilities,PreK Students with Disabilities Age 3,PreK Students with Disabilities Age 4,PreK Students with Disabilities Age 5,PreK Students with Disabilities Age 6,PreK Students with Disabilities Age 7,PreK Students with Disabilities Age 8
110,Plainville School District,2010-11,36,18,18,0,0,0,0
111,Plymouth School District,2010-11,16,7,9,0,0,0,0
112,Pomfret School District,2010-11,**,**,**,**,**,**,**
113,Portland School District,2010-11,8,2,5,1,0,0,0
114,Preston School District,2010-11,7,2,4,1,0,0,0
116,Putnam School District,2010-11,22,9,13,0,0,0,0
117,Redding School District,2010-11,14,5,7,2,0,0,0
206,Regional School District 06,2010-11,7,4,3,0,0,0,0
210,Regional School District 10,2010-11,31,11,15,5,0,0,0
212,Regional School District 12,2010-11,7,2,4,1,0,0,0
213,Regional School District 13,2010-11,15,10,4,1,0,0,0
214,Regional School District 14,2010-11,12,8,4,0,0,0,0
215,Regional School District 15,2010-11,39,12,21,6,0,0,0
216,Regional School District 16,2010-11,20,12,8,0,0,0,0
217,Regional School District 17,2010-11,20,9,11,0,0,0,0
218,Regional School District 18,2010-11,16,8,5,3,0,0,0
118,Ridgefield School District,2010-11,23,13,10,0,0,0,0
119,Rocky Hill School District,2010-11,21,10,9,2,0,0,0
121,Salem School District,2010-11,**,**,**,**,**,**,**
122,Salisbury School District,2010-11,9,2,6,1,0,0,0
123,Scotland School District,2010-11,**,**,**,**,**,**,**
124,Seymour School District,2010-11,14,13,1,0,0,0,0
125,Sharon School District,2010-11,**,**,**,**,**,**,**
126,Shelton School District,2010-11,37,14,21,2,0,0,0
127,Sherman School District,2010-11,**,**,**,**,**,**,**
128,Simsbury School District,2010-11,28,13,13,2,0,0,0
129,Somers School District,2010-11,6,3,2,0,1,0,0
132,South Windsor School District,2010-11,46,20,23,3,0,0,0
131,Southington School District,2010-11,56,25,28,3,0,0,0
133,Sprague School District,2010-11,**,**,**,**,**,**,**
134,Stafford School District,2010-11,6,3,2,1,0,0,0
135,Stamford School District,2010-11,74,35,39,0,0,0,0
136,Sterling School District,2010-11,**,**,**,**,**,**,**
137,Stonington School District,2010-11,24,10,13,1,0,0,0
138,Stratford School District,2010-11,60,35,23,2,0,0,0
139,Suffield School District,2010-11,20,6,13,1,0,0,0
140,Thomaston School District,2010-11,15,6,8,1,0,0,0
141,Thompson School District,2010-11,8,2,6,0,0,0,0
142,Tolland School District,2010-11,22,12,9,1,0,0,0
143,Torrington School District,2010-11,50,16,33,1,0,0,0
144,Trumbull School District,2010-11,69,21,38,10,0,0,0
146,Vernon School District,2010-11,40,23,16,1,0,0,0
147,Voluntown School District,2010-11,**,**,**,**,**,**,**
148,Wallingford School District,2010-11,39,20,14,5,0,0,0
151,Waterbury School District,2010-11,169,85,77,7,0,0,0
152,Waterford School District,2010-11,17,9,8,0,0,0,0
153,Watertown School District,2010-11,22,12,9,1,0,0,0
155,West Hartford School District,2010-11,83,36,46,1,0,0,0
156,West Haven School District,2010-11,71,32,36,3,0,0,0
154,Westbrook School District,2010-11,12,3,9,0,0,0,0
157,Weston School District,2010-11,18,6,9,3,0,0,0
158,Westport School District,2010-11,40,17,21,2,0,0,0
159,Wethersfield School District,2010-11,36,14,19,3,0,0,0
160,Willington School District,2010-11,**,**,**,**,**,**,**
161,Wilton School District,2010-11,37,9,24,4,0,0,0
162,Winchester School District,2010-11,18,6,11,1,0,0,0
163,Windham School District,2010-11,40,21,19,0,0,0,0
165,Windsor Locks School District,2010-11,11,5,6,0,0,0,0
164,Windsor School District,2010-11,38,20,17,1,0,0,0
166,Wolcott School District,2010-11,16,6,9,1,0,0,0
167,Woodbridge School District,2010-11,7,3,4,0,0,0,0
169,Woodstock School District,2010-11,6,3,3,0,0,0,0
1,Andover School District,2009-10,**,**,**,**,**,**,**
2,Ansonia School District,2009-10,18,9,9,0,0,0,0
3,Ashford School District,2009-10,**,**,**,**,**,**,**
4,Avon School District,2009-10,20,11,6,3,0,0,0
5,Barkhamsted School District,2009-10,6,3,2,1,0,0,0
7,Berlin School District,2009-10,35,15,18,2,0,0,0
8,Bethany School District,2009-10,14,6,8,0,0,0,0
9,Bethel School District,2009-10,33,17,14,2,0,0,0
11,Bloomfield School District,2009-10,12,8,4,0,0,0,0
12,Bolton School District,2009-10,**,**,**,**,**,**,**
13,Bozrah School District,2009-10,10,2,8,0,0,0,0
14,Branford School District,2009-10,36,16,17,3,0,0,0
15,Bridgeport School District,2009-10,215,134,80,1,0,0,0
17,Bristol School District,2009-10,91,44,45,2,0,0,0
18,Brookfield School District,2009-10,20,7,12,1,0,0,0
19,Brooklyn School District,2009-10,12,4,8,0,0,0,0
21,Canaan School District,2009-10,**,**,**,**,**,**,**
22,Canterbury School District,2009-10,6,1,5,0,0,0,0
23,Canton School District,2009-10,16,6,9,1,0,0,0
24,Chaplin School District,2009-10,**,**,**,**,**,**,**
25,Cheshire School District,2009-10,39,17,19,2,1,0,0
26,Chester School District,2009-10,6,4,1,1,0,0,0
27,Clinton School District,2009-10,18,6,12,0,0,0,0
28,Colchester School District,2009-10,40,10,25,5,0,0,0
29,Colebrook School District,2009-10,**,**,**,**,**,**,**
30,Columbia School District,2009-10,7,4,3,0,0,0,0
31,Cornwall School District,2009-10,**,**,**,**,**,**,**
32,Coventry School District,2009-10,12,5,7,0,0,0,0
33,Cromwell School District,2009-10,16,7,7,2,0,0,0
34,Danbury School District,2009-10,97,42,50,2,3,0,0
35,Darien School District,2009-10,34,19,14,1,0,0,0
36,Deep River School District,2009-10,**,**,**,**,**,**,**
37,Derby School District,2009-10,15,7,6,2,0,0,0
40,East Granby School District,2009-10,6,3,3,0,0,0,0
41,East Haddam School District,2009-10,15,8,7,0,0,0,0
42,East Hampton School District,2009-10,10,5,5,0,0,0,0
43,East Hartford School District,2009-10,52,30,20,1,0,1,0
44,East Haven School District,2009-10,42,11,25,6,0,0,0
45,East Lyme School District,2009-10,24,6,18,0,0,0,0
47,East Windsor School District,2009-10,11,6,5,0,0,0,0
39,Eastford School District,2009-10,**,**,**,**,**,**,**
46,Easton School District,2009-10,11,3,8,0,0,0,0
48,Ellington School District,2009-10,19,7,11,1,0,0,0
49,Enfield School District,2009-10,56,33,23,0,0,0,0
50,Essex School District,2009-10,8,4,3,1,0,0,0
51,Fairfield School District,2009-10,109,51,51,7,0,0,0
52,Farmington School District,2009-10,33,18,12,3,0,0,0
53,Franklin School District,2009-10,**,**,**,**,**,**,**
54,Glastonbury School District,2009-10,49,18,27,4,0,0,0
56,Granby School District,2009-10,13,4,8,1,0,0,0
57,Greenwich School District,2009-10,45,21,22,2,0,0,0
58,Griswold School District,2009-10,23,14,9,0,0,0,0
59,Groton School District,2009-10,53,25,28,0,0,0,0
60,Guilford School District,2009-10,21,11,8,2,0,0,0
62,Hamden School District,2009-10,58,19,37,2,0,0,0
63,Hampton School District,2009-10,**,**,**,**,**,**,**
64,Hartford School District,2009-10,165,85,77,2,1,0,0
65,Hartland School District,2009-10,6,2,3,1,0,0,0
67,Hebron School District,2009-10,34,22,9,3,0,0,0
68,Kent School District,2009-10,**,**,**,**,**,**,**
69,Killingly School District,2009-10,42,21,20,1,0,0,0
71,Lebanon School District,2009-10,17,3,14,0,0,0,0
72,Ledyard School District,2009-10,22,11,10,1,0,0,0
73,Lisbon School District,2009-10,9,2,6,1,0,0,0
74,Litchfield School District,2009-10,8,3,4,0,1,0,0
76,Madison School District,2009-10,24,10,11,2,0,0,1
77,Manchester School District,2009-10,75,33,40,2,0,0,0
78,Mansfield School District,2009-10,20,14,6,0,0,0,0
79,Marlborough School District,2009-10,12,5,7,0,0,0,0
80,Meriden School District,2009-10,107,61,42,4,0,0,0
83,Middletown School District,2009-10,44,24,18,2,0,0,0
84,Milford School District,2009-10,38,22,16,0,0,0,0
85,Monroe School District,2009-10,35,18,17,0,0,0,0
86,Montville School District,2009-10,25,7,18,0,0,0,0
88,Naugatuck School District,2009-10,28,12,16,0,0,0,0
89,New Britain School District,2009-10,132,76,55,0,0,1,0
90,New Canaan School District,2009-10,32,9,17,6,0,0,0
91,New Fairfield School District,2009-10,34,15,19,0,0,0,0
