district name,Total,English Language Learner,% English Language Learner
Andover School District,298,*,*
Ansonia School District,2316,84,3.60%
Ashford School District,422,6,1.40%
Avon School District,3369,46,1.40%
Barkhamsted School District,306,*,*
Berlin School District,2949,74,2.50%
Bethany School District,436,0,0%
Bethel School District,2989,73,2.40%
Bloomfield School District,2087,29,1.40%
Bolton School District,862,6,0.70%
Bozrah School District,243,*,*
Branford School District,3219,102,3.20%
Bridgeport School District,20710,2685,13%
Bristol School District,8193,317,3.90%
Brookfield School District,2762,45,1.60%
Brooklyn School District,919,8,0.90%
Canaan School District,77,*,*
Canterbury School District,458,*,*
Canton School District,1688,12,0.70%
Chaplin School District,183,*,*
Cheshire School District,4593,30,0.70%
Chester School District,228,0,0%
Clinton School District,1953,64,3.30%
Colchester School District,2727,22,0.80%
Colebrook School District,98,0,0%
Columbia School District,467,0,0%
Cornwall School District,105,*,*
Coventry School District,1684,*,*
Cromwell School District,1946,47,2.40%
Danbury School District,10762,2204,20.50%
Darien School District,4889,15,0.30%
Deep River School District,330,14,4.20%
Derby School District,1499,90,6%
Eastford School District,150,0,0%
East Granby School District,868,16,1.80%
East Haddam School District,1183,*,*
East Hampton School District,1869,7,0.40%
East Hartford School District,7129,606,8.50%
East Haven School District,3055,197,6.40%
East Lyme School District,2863,25,0.90%
Easton School District,960,*,*
East Windsor School District,1198,33,2.80%
Ellington School District,2657,40,1.50%
Enfield School District,5192,102,2%
Essex School District,508,*,*
Fairfield School District,10248,216,2.10%
Farmington School District,4001,71,1.80%
Franklin School District,181,0,0%
Glastonbury School District,6389,76,1.20%
Granby School District,2039,11,0.50%
Greenwich School District,8760,486,5.50%
Griswold School District,1965,12,0.60%
Groton School District,4657,99,2.10%
Guilford School District,3510,33,0.90%
Hamden School District,5745,236,4.10%
Hampton School District,112,0,0%
Hartford School District,21250,3549,16.70%
Hartland School District,204,0,0%
Hebron School District,867,*,*
Kent School District,272,*,*
Killingly School District,2641,68,2.60%
Lebanon School District,1146,*,*
Ledyard School District,2550,24,0.90%
Lisbon School District,396,*,*
Litchfield School District,984,*,*
Madison School District,3278,17,0.50%
Manchester School District,6210,353,5.70%
Mansfield School District,1245,52,4.20%
Marlborough School District,605,*,*
Meriden School District,8099,1011,12.50%
Middletown School District,4782,152,3.20%
Milford School District,6401,123,1.90%
Monroe School District,3367,15,0.40%
Montville School District,2403,87,3.60%
Naugatuck School District,4344,168,3.90%
New Britain School District,10038,1659,16.50%
New Canaan School District,4172,26,0.60%
New Fairfield School District,2726,38,1.40%
New Hartford School District,544,*,*
New Haven School District,21304,2709,12.70%
Newington School District,4202,156,3.70%
New London School District,3068,588,19.20%
New Milford School District,4484,118,2.60%
Newtown School District,4878,16,0.30%
Norfolk School District,116,0,0%
North Branford School District,2007,13,0.60%
North Canaan School District,295,*,*
North Haven School District,3362,55,1.60%
North Stonington School District,750,0,0%
Norwalk School District,11091,1277,11.50%
Norwich School District,3740,465,12.40%
Old Saybrook School District,1434,12,0.80%
Orange School District,1189,35,2.90%
Oxford School District,2044,33,1.60%
Plainfield School District,2451,24,1%
Plainville School District,2312,108,4.70%
Plymouth School District,1564,7,0.40%
Pomfret School District,424,*,*
Portland School District,1372,15,1.10%
Preston School District,422,7,1.70%
Putnam School District,1248,27,2.20%
Redding School District,1056,7,0.70%
Ridgefield School District,5266,49,0.90%
Rocky Hill School District,2418,106,4.40%
Salem School District,430,*,*
Salisbury School District,279,0,0%
Scotland School District,133,0,0%
Seymour School District,2296,83,3.60%
Sharon School District,177,*,*
Shelton School District,4958,181,3.70%
Sherman School District,372,*,*
Simsbury School District,4333,39,0.90%
Somers School District,1506,*,*
Southington School District,6666,110,1.70%
South Windsor School District,4240,111,2.60%
Sprague School District,360,*,*
Stafford School District,1627,6,0.40%
