district name,Total,English Language Learner,% English Language Learner
Stamford School District,15811,1870,11.80%
Sterling School District,479,0,0%
Stonington School District,2302,12,0.50%
Stratford School District,7143,267,3.70%
Suffield School District,2407,8,0.30%
Thomaston School District,938,*,*
Thompson School District,1068,*,*
Tolland School District,2706,15,0.60%
Torrington School District,4260,334,7.80%
Trumbull School District,6798,158,2.30%
Union School District,78,0,0%
Vernon School District,3321,89,2.70%
Voluntown School District,303,0,0%
Wallingford School District,6067,275,4.50%
Waterbury School District,18611,2114,11.40%
Waterford School District,2545,33,1.30%
Watertown School District,2917,71,2.40%
Westbrook School District,832,25,3%
West Hartford School District,9844,490,5%
West Haven School District,5950,678,11.40%
Weston School District,2408,12,0.50%
Westport School District,5758,57,1%
Wethersfield School District,3697,203,5.50%
Willington School District,457,*,*
Wilton School District,4276,17,0.40%
Winchester School District,626,23,3.70%
Windham School District,3246,774,23.80%
Windsor School District,3242,117,3.60%
Windsor Locks School District,1666,68,4.10%
Wolcott School District,2483,39,1.60%
Woodbridge School District,768,17,2.20%
Woodstock School District,898,0,0%
Regional School District 01,428,*,*
Regional School District 04,978,9,0.90%
Regional School District 05,2330,13,0.60%
Regional School District 06,995,7,0.70%
Regional School District 07,1123,*,*
Regional School District 08,1736,*,*
Regional School District 09,1065,*,*
Regional School District 10,2563,22,0.90%
Regional School District 11,287,*,*
Regional School District 12,796,*,*
Regional School District 13,1860,8,0.40%
Regional School District 14,1880,18,1%
Regional School District 15,3967,36,0.90%
Regional School District 16,2338,28,1.20%
Regional School District 17,2264,7,0.30%
Regional School District 18,1406,14,1%
Regional School District 19,1194,14,1.20%
Jumoke Academy District,704,0,0%
Odyssey Community School District,325,0,0%
Integrated Day Charter School,330,28,8.50%
Interdistrict School for Arts and Communication,246,38,15.40%
Common Ground High School District,180,*,*
The Bridge Academy District,277,*,*
Side By Side Charter School District,235,16,6.80%
Explorations District,83,0,0%
Trailblazers Academy District,162,0,0%
Amistad Academy District,937,102,10.90%
New Beginnings Inc. Family Academy,402,*,*
Stamford Academy District,149,0,0%
Park City Prep Charter School,260,*,*
Bridgeport Achievement First District,835,101,12.10%
Highville Charter School District,361,0,0%
Achievement First Hartford Academy,871,30,3.40%
Elm City College Preparatory School,624,45,7.20%
Brass City Charter School District,115,0,0%
Capitol Region Education Council,7179,216,3%
Education Connection,228,0,0%
Cooperative Educational Services,822,0,0%
Area Cooperative Educational Service Center,1933,46,2.40%
Learn,2137,118,5.50%
Eastern Connecticut Regional Educational Service Center,367,7,1.90%
Unified School District #1,538,0,0%
Department of Mental Health and Addiction Services,4,*,*
Unified School District #2,197,*,*
Connecticut Technical High School,10699,287,2.70%
Norwich Free Academy District,2325,157,6.80%
The Gilbert School District,537,22,4.10%
Woodstock Academy District,1033,*,0.40%
