Inst,dist,District Name,School,School Name,Grade,Total,% of Non-White,American Indian,Asian American,Black,White,Hispanic,Pacific Islander,Two or More races,,IndianM,IndianF,AsianM,AsianF,BlackM,BlackF,WhiteM,WhiteF,HispM,HispF,PaciM,PaciF,MultiM,MultiF,TotalM,TotalF,,Eligible for Free or Reduced Price Lunch,Special Education,English Language Learner
11,3,Ashford School District,1,Ashford School,7,45,*,0,*,*,40,*,0,*,,0,0,0,*,0,*,18,22,*,*,0,0,0,*,19,26,,12,7,*
11,3,Ashford School District,1,Ashford School,8,54,6,0,*,0,48,*,0,*,,0,0,*,0,0,0,29,19,*,*,0,0,0,*,33,21,,17,7,*
11,4,Avon School District,3,Roaring Brook School,-2,93,22,0,8,*,71,8,0,*,,0,0,*,*,*,*,41,30,*,*,0,0,*,*,51,42,,*,6,*
11,4,Avon School District,3,Roaring Brook School,1,96,25,0,11,6,71,*,0,*,,0,0,*,7,*,*,33,38,*,*,0,0,*,*,45,51,,8,7,0
11,4,Avon School District,3,Roaring Brook School,2,124,28,*,9,8,96,8,0,*,,0,*,*,*,*,7,52,44,*,*,0,0,*,*,64,60,,9,*,*
11,4,Avon School District,3,Roaring Brook School,3,131,25,0,10,*,106,*,*,6,,0,0,*,6,*,*,55,51,*,*,*,0,*,*,67,64,,*,18,*
11,4,Avon School District,3,Roaring Brook School,4,125,26,0,15,*,99,6,0,*,,0,0,*,10,*,*,50,49,*,*,0,0,*,0,62,63,,*,14,*
11,4,Avon School District,4,Pine Grove School,-3,42,10,0,6,*,32,*,0,*,,0,0,*,*,*,0,19,13,0,*,0,0,*,0,26,16,,0,19,0
11,4,Avon School District,4,Pine Grove School,-2,82,18,0,12,*,64,*,0,0,,0,0,*,7,*,*,37,27,*,*,0,0,0,0,45,37,,*,7,6
11,4,Avon School District,4,Pine Grove School,1,96,23,*,12,*,73,*,0,*,,0,*,6,6,*,*,30,43,*,*,0,0,*,*,41,55,,*,*,6
11,4,Avon School District,4,Pine Grove School,2,118,32,0,13,7,86,10,*,*,,0,0,6,7,*,*,37,49,*,7,*,0,0,*,50,68,,11,7,8
11,4,Avon School District,4,Pine Grove School,3,124,28,*,11,7,96,*,0,*,,*,*,6,*,*,6,57,39,*,*,0,0,*,*,70,54,,*,12,0
11,4,Avon School District,4,Pine Grove School,4,130,35,0,17,6,95,8,0,*,,0,0,7,10,*,*,62,33,0,8,0,0,*,*,74,56,,11,15,8
11,4,Avon School District,5,Thompson Brook School,5,278,66,*,35,11,212,12,0,7,,0,*,20,15,6,*,99,113,*,7,0,0,*,*,133,145,,22,41,8
11,4,Avon School District,5,Thompson Brook School,6,270,50,0,20,7,220,15,*,7,,0,0,7,13,*,6,105,115,10,*,0,*,*,*,125,145,,19,27,*
11,4,Avon School District,51,Avon Middle School,7,315,76,0,39,12,239,13,*,10,,0,0,24,15,7,*,123,116,*,8,*,*,7,*,167,148,,13,27,*
11,4,Avon School District,51,Avon Middle School,8,296,54,0,23,7,242,19,0,*,,0,0,11,12,*,*,121,121,8,11,0,0,*,*,149,147,,17,35,*
11,4,Avon School District,61,Avon High School,9,259,63,0,31,11,196,15,0,6,,0,0,9,22,*,6,119,77,*,11,0,0,*,*,141,118,,17,30,*
11,4,Avon School District,61,Avon High School,10,269,66,*,28,11,203,14,0,12,,*,0,15,13,*,8,90,113,*,12,0,0,7,*,118,151,,16,24,*
11,4,Avon School District,61,Avon High School,11,283,37,0,14,6,246,10,*,*,,0,0,7,7,*,*,108,138,*,7,0,*,*,0,126,157,,18,23,*
11,4,Avon School District,61,Avon High School,12,272,47,0,23,6,225,14,*,*,,0,0,14,9,*,*,121,104,8,6,*,*,*,*,149,123,,16,33,*
11,5,Barkhamsted School District,1,Barkhamsted Elementary School,-2,36,*,0,0,0,35,*,0,0,,0,0,0,0,0,0,20,15,*,0,0,0,0,0,21,15,,0,*,0
11,5,Barkhamsted School District,1,Barkhamsted Elementary School,1,44,*,0,0,*,42,0,0,*,,0,0,0,0,0,*,26,16,0,0,0,0,0,*,26,18,,*,7,0
11,5,Barkhamsted School District,1,Barkhamsted Elementary School,2,49,*,0,0,0,48,0,0,*,,0,0,0,0,0,0,23,25,0,0,0,0,0,*,23,26,,*,*,0
11,5,Barkhamsted School District,1,Barkhamsted Elementary School,3,43,*,0,*,0,41,0,0,*,,0,0,0,*,0,0,20,21,0,0,0,0,*,0,21,22,,*,6,0
11,5,Barkhamsted School District,1,Barkhamsted Elementary School,4,62,*,0,*,0,59,*,0,0,,0,0,0,*,0,0,38,21,*,*,0,0,0,0,39,23,,8,6,*
11,5,Barkhamsted School District,1,Barkhamsted Elementary School,5,37,*,0,0,0,35,*,0,0,,0,0,0,0,0,0,23,12,0,*,0,0,0,0,23,14,,*,6,0
11,5,Barkhamsted School District,1,Barkhamsted Elementary School,6,57,*,0,0,0,55,*,0,*,,0,0,0,0,0,0,33,22,0,*,0,0,*,0,34,23,,*,*,0
11,5,Barkhamsted School District,80,Shared Services Integrated Preschoo,-3,21,*,0,*,0,19,0,0,0,,0,0,*,*,0,0,10,9,0,0,0,0,0,0,11,10,,0,7,0
11,7,Berlin School District,1,Richard D. Hubbard School,-2,27,*,0,0,*,23,*,0,*,,0,0,0,0,0,*,10,13,*,0,0,0,*,0,12,15,,*,*,*
11,7,Berlin School District,1,Richard D. Hubbard School,1,35,10,0,0,*,25,9,0,0,,0,0,0,0,*,0,10,15,6,*,0,0,0,0,17,18,,6,*,*
11,7,Berlin School District,1,Richard D. Hubbard School,2,52,8,0,0,*,44,6,0,*,,0,0,0,0,*,0,23,21,*,*,0,0,*,0,29,23,,8,7,*
11,7,Berlin School District,1,Richard D. Hubbard School,3,32,*,0,0,*,28,*,0,0,,0,0,0,0,0,*,14,14,*,*,0,0,0,0,16,16,,7,*,*
11,7,Berlin School District,1,Richard D. Hubbard School,4,42,*,0,0,*,40,*,0,0,,0,0,0,0,*,0,29,11,*,0,0,0,0,0,31,11,,*,6,0
11,7,Berlin School District,1,Richard D. Hubbard School,5,44,6,0,0,*,38,*,0,*,,0,0,0,0,*,0,21,17,*,*,0,0,*,*,24,20,,*,*,0
11,7,Berlin School District,4,Emma Hart Willard School,-3,52,*,0,0,0,47,*,0,*,,0,0,0,0,0,0,26,21,*,*,0,0,*,0,28,24,,*,27,0
11,7,Berlin School District,4,Emma Hart Willard School,-2,69,12,0,*,*,57,*,0,*,,0,0,*,*,0,*,28,29,*,*,0,0,*,*,32,37,,*,*,8
11,7,Berlin School District,4,Emma Hart Willard School,1,56,14,0,*,*,42,*,0,*,,0,0,*,*,*,0,24,18,*,*,0,0,*,0,33,23,,11,7,11
11,7,Berlin School District,4,Emma Hart Willard School,2,77,9,0,*,0,68,*,0,0,,0,0,*,*,0,0,40,28,*,*,0,0,0,0,47,30,,8,*,*
11,7,Berlin School District,4,Emma Hart Willard School,3,78,15,0,*,*,63,*,0,6,,0,0,*,*,*,0,31,32,*,*,0,0,6,0,43,35,,10,*,*
11,7,Berlin School District,4,Emma Hart Willard School,4,91,14,0,*,*,77,7,0,*,,0,0,*,*,0,*,41,36,*,*,0,0,*,0,48,43,,14,8,*
11,7,Berlin School District,4,Emma Hart Willard School,5,78,17,0,*,*,61,8,0,*,,0,0,*,0,*,0,35,26,7,*,0,0,*,*,48,30,,17,12,*
11,7,Berlin School District,5,Mary E. Griswold School,-2,72,10,0,*,0,62,7,0,*,,0,0,*,*,0,0,28,34,*,*,0,0,*,0,34,38,,7,7,*
11,7,Berlin School District,5,Mary E. Griswold School,1,86,16,0,*,*,70,8,0,*,,0,0,*,0,*,0,38,32,6,*,0,0,*,*,51,35,,10,9,*
11,7,Berlin School District,5,Mary E. Griswold School,2,110,10,*,*,*,100,*,0,*,,0,*,*,0,*,0,47,53,*,*,0,0,*,0,54,56,,17,*,*
11,7,Berlin School District,5,Mary E. Griswold School,3,94,13,0,*,0,81,6,0,*,,0,0,*,*,0,0,45,36,*,*,0,0,*,*,53,41,,*,6,0
11,7,Berlin School District,5,Mary E. Griswold School,4,108,19,0,*,*,89,7,0,7,,0,0,*,*,0,*,38,51,*,*,0,0,*,*,46,62,,14,*,*
11,7,Berlin School District,5,Mary E. Griswold School,5,95,20,0,*,*,75,12,0,*,,0,0,*,0,*,*,47,28,*,8,0,0,*,*,57,38,,14,13,*
11,7,Berlin School District,51,Catherine M. McGee Middle School,6,230,47,0,8,7,183,24,0,8,,0,0,*,6,*,*,116,67,11,13,0,0,*,*,136,94,,37,20,*
11,7,Berlin School District,51,Catherine M. McGee Middle School,7,243,42,0,8,*,201,23,0,6,,0,0,*,*,*,*,106,95,12,11,0,0,*,*,128,115,,33,23,*
11,7,Berlin School District,51,Catherine M. McGee Middle School,8,239,43,0,16,9,196,13,0,*,,0,0,6,10,6,*,101,95,7,6,0,0,*,*,121,118,,39,23,0
11,7,Berlin School District,61,Berlin High School,9,240,35,0,6,9,205,12,*,7,,0,0,*,*,*,*,114,91,*,8,*,0,*,*,132,108,,36,18,*
11,7,Berlin School District,61,Berlin High School,10,215,32,0,6,*,183,21,0,*,,0,0,0,6,*,0,100,83,12,9,0,0,*,*,115,100,,30,30,*
